,title,release_year,vote_count,vote_average
11704,Jindabyne,2006,25.0,5.7
11705,The Spider's Stratagem,1970,9.0,7.7
11706,Nomad: The Warrior,2005,17.0,4.3
11707,The Tall Target,1951,4.0,6.5
11708,Avenue Montaigne,2006,27.0,6.2
11709,Black Book,2006,288.0,7.2
11710,Love and Honor,2006,17.0,7.4
11711,Dreamland,2006,9.0,5.6
11712,The Quiet Duel,1949,13.0,7.3
11713,A Moment of Innocence,1996,23.0,8.0
11714,The Silence,1998,5.0,6.3
11715,It's Impossible to Learn to Plow by Reading Books,1988,7.0,4.6
11716,R.S.V.P.,2002,4.0,4.5
11717,The Five Pennies,1959,5.0,5.4
11718,Philanthropy,2002,29.0,7.2
11719,Ladies in Retirement,1941,4.0,5.1
11720,"Not For, or Against (Quite the Contrary)",2003,21.0,5.7
11721,Eklavya: The Royal Guard,2007,6.0,6.8
11722,Dark Horse,2005,10.0,6.4
11723,Damnation,1988,16.0,7.8
11724,His Kind of Woman,1951,10.0,6.3
11725,Turn of Faith,2002,0.0,0.0
11726,The Darwin Awards,2006,54.0,5.2
11727,The Tarnished Angels,1957,13.0,6.9
11728,The Lookout,2007,209.0,6.6
11729,Blades of Glory,2007,578.0,5.9
11730,Armbryterskan från Ensamheten,2004,1.0,5.0
11731,Kissed by Winter,2005,4.0,6.8
11732,Are We Done Yet?,2007,152.0,5.1
11733,The Reaping,2007,209.0,5.4
11734,Firehouse Dog,2007,44.0,6.0
11735,Meet the Robinsons,2007,787.0,6.7
11736,American Hardcore,2006,12.0,6.4
11737,The Inglorious Bastards,1978,63.0,5.9
11738,Seraphim Falls,2006,147.0,6.4
11739,Double Harness,1933,3.0,8.0
11740,Sunshine,2007,1210.0,7.0
11741,Judge Priest,1934,5.0,6.2
11742,Copying Beethoven,2006,44.0,6.3
11743,Royal Palace,2005,73.0,5.8
11744,The Hoax,2006,60.0,6.4
11745,No Way Out,1950,8.0,6.3
11746,Ulysses' Gaze,1995,12.0,7.1
11747,Sky Fighters,2005,44.0,6.4
11748,Scent of a Woman,1974,28.0,7.4
11749,"Welcome Back, Mr. McDonald",1997,10.0,7.3
11750,How the Grinch Stole Christmas!,1966,364.0,7.2
11751,Origin: Spirits of the Past,2006,40.0,6.6
11752,Goya's Ghosts,2006,100.0,6.6
11753,Perfect Stranger,2007,242.0,5.4
11754,Disturbia,2007,1038.0,6.6
11755,Pathfinder,2007,173.0,5.4
11756,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,35.0,6.5
11757,The Private Affairs of Bel Ami,1947,5.0,6.8
11758,Straight Time,1978,34.0,6.8
11759,Tristana,1970,42.0,7.2
11760,Puccini for Beginners,2006,7.0,6.1
11761,Slow Burn,2005,16.0,5.5
11762,Redline,2007,46.0,4.5
11763,Summer Palace,2006,10.0,7.2
11764,In the Year of the Pig,1969,6.0,6.0
11765,The MacKintosh Man,1973,20.0,6.4
11766,La Vie en Rose,2007,433.0,7.3
11767,Man - Woman Wanted,1973,5.0,7.2
11768,Griffin & Phoenix,2006,31.0,6.6
11769,The Resurrected,1991,26.0,6.6
11770,The Contract,2006,152.0,5.5
11771,Fracture,2007,908.0,7.1
11772,Big Nothing,2006,130.0,6.5
11773,Woman on the Beach,2006,7.0,7.4
11774,Smash-Up: Story of a Woman,1947,5.0,4.2
11775,Island of Fire,1990,26.0,5.9
11776,Vacancy,2007,406.0,6.0
11777,Night of the Ghouls,1959,11.0,4.7
11778,Benny's Video,1993,67.0,7.1
11779,In the Land of Women,2007,163.0,5.8
11780,Confetti,2006,20.0,6.0
11781,The Devil Commands,1941,8.0,5.9
11782,Mr. Bean's Holiday,2007,682.0,6.1
11783,The Grace Lee Project,2005,0.0,0.0
11784,Adam & Paul,2004,17.0,6.9
11785,The Invisible,2007,148.0,6.0
11786,Kickin' It Old Skool,2007,29.0,4.1
11787,The Condemned,2007,219.0,5.8
11788,Spider-Man 3,2007,3687.0,5.9
11789,Lucky You,2007,83.0,5.4
11790,It's a Very Merry Muppet Christmas Movie,2002,15.0,5.4
11791,The Furies,1950,13.0,6.8
11792,21 Up,1977,18.0,7.9
11793,Kiss Me Again,2006,5.0,4.6
11794,Hana,2006,13.0,6.2
11795,Sharkwater,2006,20.0,7.8
11796,West,2002,3.0,6.3
11797,Flannel Pajamas,2006,0.0,0.0
11798,Tales from Earthsea,2006,278.0,6.5
11799,Thieves' Highway,1949,20.0,7.1
11800,Maniac Cop,1988,87.0,5.7
11801,Year of the Dog,2007,22.0,5.1
11802,Thr3e,2006,21.0,4.8
11803,The Rocket: The Legend of Rocket Richard,2005,17.0,6.1
11804,Diggers,2006,10.0,5.5
11805,The Ex,2006,64.0,5.0
11806,Woman Is the Future of Man,2004,6.0,6.4
11807,Paprika,2006,416.0,7.7
11808,The Flying Scotsman,2006,14.0,6.7
11809,Sylvia Scarlett,1935,12.0,5.0
11810,Fixed Bayonets!,1951,7.0,6.1
11811,Syndromes and a Century,2006,18.0,7.1
11812,Red Road,2006,62.0,6.3
11813,The Adventures of Mark Twain,1985,22.0,7.0
11814,At Five in the Afternoon,2003,7.0,6.6
11815,Day Watch,2006,170.0,6.2
11816,This Is England,2006,370.0,7.4
11817,One Night in Mongkok,2004,14.0,6.9
11818,Away from Her,2006,54.0,6.9
11819,Knocked Up,2007,1255.0,6.2
11820,Hairspray,2007,738.0,6.5
11821,Zidane - A 21st Century Portrait,2006,16.0,5.5
11822,The Prodigal Son,1981,8.0,6.6
11823,28 Weeks Later,2007,1225.0,6.5
11824,Georgia Rule,2007,130.0,5.6
11825,Delta Farce,2007,42.0,4.5
11826,Wheels on Meals,1984,66.0,7.0
11827,Jonestown: The Life and Death of Peoples Temple,2006,15.0,6.8
11828,Red Dust,1932,11.0,7.2
11829,Desperation,2006,45.0,5.2
11830,Tokyo Olympiad,1965,7.0,8.0
11831,Caught,1949,20.0,5.9
11832,Blood Trails,2006,7.0,2.4
11833,Shrek the Third,2007,2355.0,6.0
11834,Once,2007,457.0,7.4
11835,Pirates of the Caribbean: At World's End,2007,4627.0,6.9
11836,Bug,2006,167.0,6.0
11837,Mr. Brooks,2007,543.0,6.8
11838,Rise: Blood Hunter,2007,61.0,4.7
11839,Gracie,2007,17.0,6.0
11840,The Librarian: Return to King Solomon's Mines,2006,123.0,5.8
11841,The Librarian: Quest for the Spear,2004,173.0,6.0
11842,Fay Grim,2006,19.0,6.7
11843,The Man from Planet X,1951,15.0,5.5
11844,Zoo,2007,22.0,5.5
11845,"I'm a Cyborg, But That's OK",2006,126.0,7.1
11846,Dragon Tiger Gate,2006,55.0,6.7
11847,Eagle vs Shark,2007,77.0,6.7
11848,88 Minutes,2007,323.0,5.7
11849,The Great War,1959,45.0,7.6
11850,The Breed,2006,82.0,5.0
11851,Day Night Day Night,2006,5.0,6.0
11852,Cashback,2006,369.0,6.8
11853,Ocean's Thirteen,2007,2040.0,6.5
11854,Them,2006,147.0,6.1
11855,Flanders,2006,10.0,6.5
11856,Ten Canoes,2006,21.0,6.7
11857,Satan,2006,83.0,5.9
11858,Sun Alley,1999,27.0,6.6
11859,Godzilla vs. Mothra,1992,28.0,6.1
11860,Godzilla vs. Destoroyah,1995,30.0,6.5
11861,Godzilla vs. King Ghidorah,1991,28.0,6.2
11862,The Ghost Ship,1943,15.0,6.7
11863,Experiment Perilous,1944,5.0,5.0
11864,GO,2001,12.0,6.8
11865,Alone With Her,2006,20.0,6.2
11866,Hostel: Part II,2007,464.0,5.6
11867,Remember the Night,1940,25.0,7.2
11868,Paranoid Park,2007,126.0,6.3
11869,The Legend of Sleepy Hollow,1980,4.0,8.5
11870,Starcrash,1978,33.0,4.3
11871,Surf's Up,2007,616.0,5.9
11872,Fantastic 4: Rise of the Silver Surfer,2007,2648.0,5.4
11873,Nancy Drew,2007,146.0,5.8
11874,Fido,2006,137.0,6.6
11875,L'iceberg,2005,1.0,5.0
11876,Who the #$&% Is Jackson Pollock?,2006,6.0,6.4
11877,Death Proof,2007,1359.0,6.7
11878,Robot Monster,1953,17.0,3.5
11879,Rescue Dawn,2006,339.0,6.9
11880,The Blue Bird,1940,8.0,6.4
11881,The Wedding Night,1935,2.0,7.5
11882,The Moguls,2005,27.0,5.6
11883,The TV Set,2006,19.0,6.0
11884,The Valet,2006,131.0,6.0
11885,Dodge City,1939,17.0,6.7
11886,The Mistress of Spices,2005,34.0,5.5
11887,Four Minutes,2006,31.0,7.0
11888,In Your Hands,2004,8.0,5.6
11889,Once You're Born You Can No Longer Hide,2005,4.0,7.5
11890,The Night of the Generals,1967,34.0,6.6
11891,Comedy of Power,2006,14.0,5.9
11892,Silk,2006,30.0,6.4
11893,Breaking News,2004,32.0,6.5
11894,In Search of a Midnight Kiss,2007,29.0,6.4
11895,Alice in Wonderland,1985,15.0,6.3
11896,The Mystery of Picasso,1956,8.0,6.6
11897,Exiled,2006,46.0,7.0
11898,Bring It On: All or Nothing,2006,152.0,5.8
11899,Sybil,1976,25.0,7.2
11900,David Holzman's Diary,1967,5.0,7.6
11901,Journey to Italy,1954,50.0,7.3
11902,Swoon,1992,8.0,5.9
11903,East Side Story,1997,1.0,5.0
11904,Knock On Wood,1954,8.0,7.1
11905,O.C. and Stiggs,1985,6.0,4.5
11906,The Homecoming,1973,2.0,6.5
11907,The Woman Chaser,1999,4.0,4.9
11908,Uranus,1990,3.0,5.2
11909,American Friends,1991,3.0,6.2
11910,Within Our Gates,1920,13.0,5.0
11911,Johnny Tremain,1957,8.0,5.7
11912,Alan & Naomi,1992,3.0,4.3
11913,Goal! II: Living the Dream,2007,147.0,5.8
11914,Still Smokin,1983,33.0,5.4
11915,Putney Swope,1969,15.0,6.1
11916,The Power of Nightmares,2004,26.0,8.1
11917,The Trials Of Darryl Hunt,2007,4.0,6.8
11918,O Lucky Man!,1973,20.0,6.8
11919,Sicko,2007,241.0,7.3
11920,Popular Music,2004,17.0,6.0
11921,Awesome; I Fuckin' Shot That!,2006,6.0,7.1
11922,Tea and Sympathy,1956,9.0,5.1
11923,The Man in the Iron Mask,1939,4.0,7.0
11924,A Mighty Heart,2007,97.0,6.7
11925,1408,2007,1372.0,6.5
11926,Death at a Funeral,2007,508.0,6.9
11927,Clubland,2007,8.0,5.2
11928,High Road to China,1983,23.0,5.7
11929,Live Free or Die Hard,2007,2122.0,6.4
11930,License to Wed,2007,258.0,5.3
11931,Evening,2007,48.0,5.7
11932,Evan Almighty,2007,1194.0,5.3
11933,Transformers,2007,4113.0,6.6
11934,Captivity,2007,134.0,4.4
11935,Harry Potter and the Order of the Phoenix,2007,5633.0,7.4
11936,I Now Pronounce You Chuck & Larry,2007,640.0,5.8
11937,Bedtime Story,1964,6.0,5.8
11938,McQ,1974,25.0,6.0
11939,The Mean Season,1985,21.0,5.8
11940,Back in Action,1993,5.0,6.7
11941,Heart of the Dragon,1985,24.0,6.9
11942,Arn: The Knight Templar,2007,78.0,6.4
11943,Driving Lessons,2006,49.0,6.3
11944,First Snow,2006,49.0,6.3
11945,Broken Arrow,1950,33.0,6.3
11946,The Last Time,2006,19.0,5.5
11947,Re-cycle,2006,41.0,6.6
11948,No Time For Sergeants,1958,18.0,7.3
11949,Manufactured Landscapes,2006,13.0,7.3
11950,Across the Universe,2007,419.0,7.1
11951,Broken English,2007,20.0,6.6
11952,Brand Upon the Brain! A Remembrance in 12 Chapters,2007,20.0,6.6
11953,Boris and Natasha,1992,5.0,1.8
11954,The Sterile Cuckoo,1969,6.0,4.1
11955,When the Wind Blows,1986,71.0,7.4
11956,The Dawn Patrol,1930,5.0,5.8
11957,The Lives of a Bengal Lancer,1935,8.0,6.1
11958,The Piano Tuner of Earthquakes,2005,7.0,6.1
11959,A Dog's Breakfast,2007,24.0,5.9
11960,Dorian Blues,2004,8.0,6.3
11961,Come Early Morning,2006,10.0,5.9
11962,Hot Rod,2007,317.0,6.3
11963,Stardust,2007,1215.0,7.2
11964,Murder Most Foul,1964,22.0,6.7
11965,Who's Your Caddy?,2007,18.0,3.8
11966,Skinwalkers,2006,76.0,4.5
11967,The Simpsons Movie,2007,2335.0,6.9
11968,I Know Who Killed Me,2007,81.0,4.0
11969,No Reservations,2007,336.0,6.1
11970,Underdog,2007,171.0,4.7
11971,Charlie Bartlett,2008,228.0,6.5
11972,El cantante,2006,11.0,6.0
11973,The Bourne Ultimatum,2007,2938.0,7.3
11974,Bratz,2007,63.0,5.1
11975,Cruel Story of Youth,1960,10.0,6.1
11976,La Sierra,2005,4.0,7.5
11977,My Best Friend,2006,59.0,6.1
11978,You Kill Me,2007,82.0,6.2
11979,Wild Tigers I Have Known,2006,11.0,5.9
11980,Reincarnation,2005,34.0,5.8
11981,China Blue,2005,5.0,5.3
11982,Tell No One,2006,350.0,7.4
11983,Man's Job,2007,7.0,7.0
11984,Morning Glory,1933,10.0,5.7
11985,Czech Dream,2004,10.0,6.8
11986,12:08 East of Bucharest,2006,22.0,6.5
11987,All the Way Boys,1972,71.0,6.5
11988,Teachers,1984,20.0,5.7
11989,Jack the Giant Killer,1962,14.0,5.3
11990,If I Were You,2006,60.0,6.4
11991,The Manitou,1978,16.0,5.9
11992,Miss Julie,1951,12.0,6.0
11993,Superbad,2007,2152.0,7.0
11994,Arctic Tale,2007,8.0,6.6
11995,Joshua,2007,76.0,5.9
11996,Talk to Me,2007,36.0,7.1
11997,Princesses,2005,24.0,6.9
11998,The Tripper,2006,30.0,5.1
11999,Command Decision,1948,6.0,6.5
12000,The Cave of the Yellow Dog,2005,22.0,7.3
12001,Abraham,1994,1.0,4.0
12002,The Young Lieutenant,2005,17.0,6.0
12003,"Kill Baby, Kill",1966,38.0,6.6
12004,The War Tapes,2006,4.0,7.3
12005,Resurrecting the Champ,2007,62.0,5.9
12006,American Pastime,2007,2.0,8.3
12007,The Brice Man,2005,335.0,5.5
12008,Moliere,2007,46.0,6.6
12009,Rush Hour 3,2007,801.0,6.1
12010,1991: The Year Punk Broke,1992,11.0,7.0
12011,The Last Legion,2007,210.0,5.0
12012,The Last Casino,2004,10.0,7.0
12013,Lady Chatterley,2006,20.0,5.9
12014,Under the Yum-Yum Tree,1963,6.0,6.0
12015,Balls of Fury,2007,164.0,5.0
12016,Sydney White,2007,242.0,6.0
12017,The Kingdom,2007,517.0,6.5
12018,Wind Chill,2007,98.0,5.7
12019,Rocket Science,2007,60.0,6.3
12020,TerrorStorm: A History of Government-Sponsored Terrorism,2006,8.0,6.2
12021,Daddy Day Camp,2007,94.0,4.4
12022,The Invasion,2007,366.0,5.7
12023,War,2007,422.0,6.0
12024,Illegal Tender,2007,15.0,7.6
12025,The Nanny Diaries,2007,335.0,6.1
12026,September Dawn,2007,16.0,5.0
12027,Halloween,2007,510.0,5.9
12028,Death Sentence,2007,303.0,6.4
12029,2 Days in Paris,2007,106.0,6.3
12030,Do You Like Hitchcock?,2005,11.0,5.4
12031,Brighton Rock,1947,30.0,7.7
12032,Keoma,1976,29.0,6.3
12033,Face to Face,1967,12.0,7.1
12034,The Mercenary,1968,20.0,7.5
12035,The King of Kong,2007,148.0,8.1
12036,The Wool Cap,2004,0.0,0.0
12037,Taxi 4,2007,317.0,5.4
12038,Behind the Mask: The Rise of Leslie Vernon,2006,105.0,6.6
12039,Victory Through Air Power,1943,9.0,5.1
12040,The Brothers Solomon,2007,46.0,4.9
12041,Bordertown,2006,65.0,6.2
12042,The Nines,2007,150.0,6.1
12043,Die! Die! My Darling!,1965,11.0,5.2
12044,Hunting and Gathering,2007,125.0,6.6
12045,New Wave,2008,1.0,6.0
12046,The Good Night,2007,41.0,5.7
12047,"Watch Out, We're Mad",1974,154.0,7.3
12048,Stories of Lost Souls,2004,3.0,5.0
12049,Planet Terror,2007,1109.0,6.5
12050,3:10 to Yuma,2007,1210.0,6.9
12051,Shoot 'Em Up,2007,589.0,6.3
12052,The Ten,2007,57.0,4.9
12053,An Evening with Kevin Smith,2002,26.0,7.5
12054,Gotti,1996,12.0,5.1
12055,Bitter Rice,1949,21.0,7.2
12056,Fierce People,2005,35.0,6.0
12057,Atonement,2007,1075.0,7.4
12058,Daft Punk's Electroma,2006,26.0,6.5
12059,My Winnipeg,2007,17.0,7.3
12060,Requiem,2006,22.0,7.0
12061,"4 Months, 3 Weeks and 2 Days",2007,158.0,7.4
12062,No End in Sight,2007,23.0,7.3
12063,Mercenary for Justice,2006,27.0,4.3
12064,Far from the Madding Crowd,1967,23.0,6.5
12065,The Brave One,2007,258.0,6.4
12066,In the Valley of Elah,2007,265.0,6.6
12067,Rang De Basanti,2006,98.0,7.2
12068,I Could Never Be Your Woman,2007,94.0,5.7
12069,Design for Living,1933,44.0,7.1
12070,December Boys,2007,79.0,6.2
12071,Shanghai Kiss,2007,18.0,5.9
12072,The Hunting Party,2007,96.0,6.6
12073,Eastern Promises,2007,867.0,7.2
12074,27 Missing Kisses,2000,5.0,5.8
12075,Brooklyn Rules,2007,19.0,5.8
12076,An Unreasonable Man,2007,6.0,6.5
12077,Vengeance Is Mine,1979,28.0,7.7
12078,Tekkonkinkreet,2006,80.0,7.7
12079,In the Shadow of the Moon,2007,31.0,7.6
12080,Stephanie Daley,2006,9.0,6.2
12081,Love and Other Disasters,2006,104.0,5.9
12082,The Contractor,2007,33.0,5.4
12083,Interview,2007,47.0,6.4
12084,The Death and Life of Bobby Z,2007,104.0,5.8
12085,Private Fears in Public Places,2006,11.0,6.2
12086,House of Bamboo,1955,14.0,6.7
12087,Resident Evil: Extinction,2007,1308.0,6.1
12088,Mr. Woodcock,2007,142.0,4.9
12089,Good Luck Chuck,2007,454.0,5.6
12090,Into the Wild,2007,3139.0,7.8
12091,The Game Plan,2007,434.0,6.0
12092,"Lust, Caution",2007,177.0,6.8
12093,Feast of Love,2007,53.0,5.9
12094,Postal,2007,94.0,4.6
12095,The Seeker: The Dark Is Rising,2007,111.0,4.8
12096,The Heartbreak Kid,2007,414.0,5.7
12097,Dan in Real Life,2007,363.0,6.5
12098,The Darjeeling Limited,2007,876.0,7.1
12099,We Own the Night,2007,327.0,6.5
12100,Elizabeth: The Golden Age,2007,310.0,6.6
12101,Michael Clayton,2007,508.0,6.6
12102,Sleuth,2007,154.0,6.4
12103,Lars and the Real Girl,2007,517.0,7.1
12104,30 Days of Night,2007,784.0,6.2
12105,Rendition,2007,207.0,6.2
12106,Things We Lost in the Fire,2007,90.0,6.7
12107,Reservation Road,2007,78.0,6.6
12108,Gone Baby Gone,2007,1034.0,7.2
12109,The Comebacks,2007,45.0,4.9
12110,Weirdsville,2007,19.0,6.3
12111,The Dog Problem,2006,19.0,6.1
12112,Relative Strangers,2006,20.0,5.4
12113,Alien Autopsy,2006,49.0,5.8
12114,Straightheads,2007,41.0,5.1
12115,Climates,2006,18.0,6.5
12116,The Assassination of Jesse James by the Coward Robert Ford,2007,792.0,7.0
12117,Chronicle of a Summer,1961,11.0,6.5
12118,The Breaking Point,1950,11.0,7.0
12119,The Nanny,1965,23.0,6.4
12120,10th & Wolf,2006,26.0,6.3
12121,Beaufort,2007,13.0,7.0
12122,Civic Duty,2006,13.0,6.2
12123,The Killing Floor,2007,14.0,5.6
12124,Irina Palm,2007,28.0,6.9
12125,I'm Reed Fish,2007,33.0,5.8
12126,Between Heaven and Hell,1956,7.0,5.6
12127,The Final Season,2007,14.0,5.2
12128,Persepolis,2007,461.0,7.7
12129,Control,2007,206.0,7.5
12130,The Jane Austen Book Club,2007,121.0,6.6
12131,...And the Pursuit of Happiness,1986,3.0,8.3
12132,Frost Bite,2006,21.0,5.7
12133,Jonny Vang,2003,5.0,6.0
12134,Graveyard of Honor,2002,14.0,6.5
12135,"Wood & Stock: Sexo, Orégano e Rock'n'Roll",2006,0.0,0.0
12136,Fugitive Pieces,2007,9.0,6.5
12137,Outlaw,2007,47.0,5.2
12138,Les Bonnes Femmes,1960,8.0,5.7
12139,The Last Winter,2006,58.0,5.6
12140,Silk,2007,56.0,5.6
12141,"Mary, Queen of Scots",1971,12.0,6.7
12142,Can't Help Singing,1944,2.0,8.5
12143,I Want Someone to Eat Cheese With,2006,12.0,5.7
12144,Manufacturing Dissent,2007,6.0,4.5
12145,Black Sheep,2006,201.0,5.7
12146,The Edge of Heaven,2007,68.0,6.6
12147,Why Did I Get Married?,2007,33.0,6.1
12148,Saw IV,2007,938.0,5.9
12149,My Mom's New Boyfriend,2008,64.0,5.4
12150,For the Bible Tells Me So,2007,19.0,6.9
12151,Gemini,1999,21.0,6.5
12152,The Monster Walks,1932,3.0,4.0
12153,Scum,1979,52.0,7.3
12154,Return to the 36th Chamber,1980,23.0,6.8
12155,Full of It,2007,27.0,5.7
12156,The Sea Wolf,1941,10.0,7.2
12157,Valhalla,1986,8.0,6.9
12158,The City of Violence,2006,38.0,6.4
12159,My Kid Could Paint That,2007,12.0,6.7
12160,"Dawn Breaks, Which Is No Small Thing",1989,15.0,6.8
12161,Secret Sunshine,2007,45.0,6.3
12162,The Reckless Moment,1949,21.0,6.9
12163,Elite Squad,2007,519.0,7.8
12164,The Year My Parents Went On Vacation,2006,15.0,7.7
12165,King of California,2007,104.0,6.5
12166,Martian Child,2007,79.0,6.8
12167,Flight of the Living Dead: Outbreak on a Plane,2007,37.0,5.2
12168,Last Hero in China,1993,16.0,5.4
12169,All Souls Day: Dia de los Muertos,2005,7.0,5.9
12170,Decoys,2004,34.0,4.7
12171,Chilly Scenes of Winter,1979,1.0,10.0
12172,American Gangster,2007,1527.0,7.4
12173,Bee Movie,2007,1208.0,5.7
12174,Citizen Dog,2004,12.0,6.7
12175,Before the Devil Knows You're Dead,2007,359.0,6.9
12176,The Diving Bell and the Butterfly,2007,290.0,7.5
12177,No Country for Old Men,2007,3083.0,7.7
12178,Ripley Under Ground,2005,14.0,6.0
12179,Be Kind Rewind,2008,426.0,6.2
12180,Itty Bitty Titty Committee,2007,12.0,6.0
12181,Crazy Love,2007,9.0,6.6
12182,The Fugitive,1947,12.0,5.6
12183,Azur & Asmar: The Princes' Quest,2006,91.0,7.5
12184,August Rush,2007,821.0,7.2
12185,Space Is the Place,1974,8.0,5.6
12186,The Dawn Rider,1935,11.0,4.4
12187,The Desperate Hours,1955,27.0,6.6
12188,"You, the Living",2007,63.0,7.1
12189,The Man from Earth,2007,696.0,7.7
12190,No Mercy for the Rude,2006,18.0,6.8
12191,Hellfighters,1968,21.0,6.2
12192,Lions for Lambs,2007,223.0,6.0
12193,Fred Claus,2007,211.0,5.5
12194,Beowulf,2007,855.0,5.5
12195,Mr. Magorium's Wonder Emporium,2007,365.0,6.0
12196,Love in the Time of Cholera,2007,84.0,6.5
12197,Southland Tales,2006,154.0,5.2
12198,Ever Since the World Ended,2001,6.0,4.3
12199,The American Soldier,1970,2.0,8.0
12200,An Evening with Kevin Smith 2: Evening Harder,2006,9.0,6.9
12201,Kansas City Confidential,1952,19.0,7.0
12202,Harrison Bergeron,1995,7.0,7.6
12203,5ive Girls,2006,19.0,4.4
12204,Rails & Ties,2007,14.0,5.5
12205,Darfur Now,2007,3.0,5.3
12206,Heavens Fall,2006,4.0,5.5
12207,I Served the King of England,2006,22.0,7.0
12208,Texas Terror,1935,9.0,4.3
12209,Murder Party,2007,40.0,5.8
12210,Smiley Face,2007,71.0,6.3
12211,12,2007,54.0,6.6
12212,XXY,2007,53.0,6.9
12213,The Steel Helmet,1951,26.0,7.0
12214,Endgame: Blueprint for Global Enslavement,2007,13.0,6.7
12215,Blame It on Fidel!,2006,9.0,6.9
12216,The Mist,2007,1438.0,6.7
12217,Enchanted,2007,1512.0,6.6
12218,Hitman,2007,982.0,5.9
12219,This Christmas,2007,30.0,7.2
12220,P2,2007,162.0,5.7
12221,Om Shanti Om,2007,85.0,7.2
12222,Awake,2007,403.0,6.3
12223,The Golden Compass,2007,1347.0,5.8
12224,I Am Legend,2007,4977.0,6.9
12225,Alvin and the Chipmunks,2007,1212.0,5.5
12226,Futurama: Bender's Big Score,2007,191.0,7.4
12227,Symbiopsychotaxiplasm: Take One,1968,6.0,7.8
12228,Margot at the Wedding,2007,74.0,5.9
12229,I'm Not There.,2007,202.0,6.6
12230,Beyond The Law,1992,23.0,5.9
12231,The Shepherd of the Hills,1941,11.0,6.3
12232,As Far As My Feet Will Carry Me,2001,22.0,6.9
12233,The Savages,2007,112.0,6.8
12234,Wrong Turn 2: Dead End,2007,275.0,5.5
12235,The Orphanage,2007,652.0,7.1
12236,That Hamilton Woman,1941,15.0,7.5
12237,Juno,2007,2313.0,7.0
12238,Goodbye Bafana,2007,38.0,7.0
12239,Tokyo Twilight,1957,15.0,7.9
12240,Maxed Out,2006,11.0,7.0
12241,My Blueberry Nights,2007,197.0,6.1
12242,The Swimming Pool,1969,67.0,6.9
12243,Cake,2005,36.0,5.0
12244,Day of the Dead 2: Contagium,2005,13.0,3.1
12245,Ma Mère,2004,29.0,4.4
12246,Noise,2004,1.0,8.0
12247,Party Monster: The Shockumentary,1998,10.0,6.4
12248,Return to Sender,2004,13.0,5.9
12249,"Buy the Ticket, Take the Ride",2006,6.0,6.7
12250,Starting Out in the Evening,2007,8.0,7.3
12251,Redacted,2007,37.0,6.2
12252,Suicide Killers,2006,1.0,7.0
12253,The Devil Came on Horseback,2007,11.0,7.9
12254,All Passion Spent,1986,1.0,8.0
12255,The Treatment,2006,4.0,6.0
12256,10 Questions for the Dalai Lama,2006,3.0,6.3
12257,Helvetica,2007,71.0,7.3
12258,Mary,2005,9.0,5.1
12259,Journey from the Fall,2006,1.0,5.0
12260,The War on Democracy,2007,12.0,7.6
12261,The Bucket List,2007,1138.0,7.0
12262,Fall from Grace,2007,4.0,7.3
12263,Between Two Worlds,1944,10.0,7.3
12264,The Kite Runner,2007,405.0,7.3
12265,Sex and Fury,1973,32.0,5.8
12266,Regular Lovers,2005,9.0,7.7
12267,Allegro,2005,7.0,7.4
12268,The Deaths of Ian Stone,2007,82.0,5.2
12269,Commune,2005,4.0,7.8
12270,Robin Hood,1922,8.0,5.9
12271,Train Man,2005,10.0,6.5
12272,Butterfly on a Wheel,2007,131.0,6.3
12273,Seduced and Abandoned,1964,16.0,6.8
12274,The Go-Getter,2007,23.0,6.5
12275,The Hamiltons,2006,57.0,4.8
12276,Close My Eyes,1991,15.0,6.3
12277,The Flock,2007,63.0,5.7
12278,The Maidens' Conspiracy,2006,4.0,4.3
12279,Wristcutters: A Love Story,2006,161.0,6.7
12280,Vitus,2006,21.0,7.2
12281,Joe and Max,2002,1.0,0.0
12282,Longford,2006,8.0,4.1
12283,The Big Bad Swim,2006,6.0,6.1
12284,Sweeney Todd: The Demon Barber of Fleet Street,2007,1745.0,7.0
12285,National Treasure: Book of Secrets,2007,1782.0,6.1
12286,I Don't Want to Sleep Alone,2006,7.0,8.1
12287,There Will Be Blood,2007,1581.0,7.9
12288,W.R. - Mysteries of the Organism,1971,14.0,6.9
12289,Charlie Wilson's War,2007,342.0,6.5
12290,The Train Robbers,1973,32.0,6.4
12291,Aliens vs Predator: Requiem,2007,758.0,4.9
12292,Walk Hard: The Dewey Cox Story,2007,214.0,6.6
12293,Pledge This!,2006,34.0,2.7
12294,As You Like It,2006,13.0,5.5
12295,Rabbit Without Ears,2007,134.0,6.2
12296,Ricochet,1991,81.0,5.9
12297,Drained,2006,18.0,6.7
12298,Chicks With Sticks,2005,2.0,5.0
12299,The Great Debaters,2007,153.0,6.9
12300,Mongolian Ping Pong,2005,0.0,0.0
12301,Dedication,2007,31.0,6.6
12302,The Water Horse,2007,293.0,6.3
12303,Battlestar Galactica: Razor,2007,126.0,7.2
12304,The Mission,1999,24.0,6.7
12305,P.S. I Love You,2007,1011.0,7.0
12306,The Perfect Holiday,2007,10.0,5.7
12307,27 Dresses,2008,1013.0,6.1
12308,Savages,1972,0.0,0.0
12309,The Mad Magician,1954,13.0,7.1
12310,Nanking,2007,14.0,7.6
