,title,release_date
6596,God Told Me To,1976-10-31
6597,"I, Madman",1989-01-01
6598,Jungle Book,1942-04-03
6599,Once Bitten,1985-11-15
6600,Shrimp on the Barbie,1990-08-31
6601,Squirm,1976-07-30
6602,The Adventures of Huckleberry Finn,1960-08-03
6603,The Brood,1979-05-25
6604,The Prince and the Pauper,1937-05-08
6605,Anything Else,2003-08-27
6606,Cold Creek Manor,2003-09-19
6607,The Fighting Temptations,2003-09-17
6608,Secondhand Lions,2003-09-19
6609,Underworld,2003-09-19
6610,Bubba Ho-tep,2002-06-09
6611,Casa de los Babys,2003-09-05
6612,Demonlover,2002-05-19
6613,Esmeraldero,2003-11-17
6614,Close Your Eyes,2002-02-01
6615,In This World,2002-11-17
6616,Tibet: Cry of the Snow Lion,2002-09-13
6617,Yossi & Jagger,2002-08-28
6618,Duplex,2003-09-26
6619,The Rundown,2003-09-26
6620,Under the Tuscan Sun,2003-04-30
6621,Camera Obscura,2000-02-06
6622,Kart Racer,2003-05-16
6623,Luther,2003-10-29
6624,Mambo Italiano,2003-06-06
6625,My Life Without Me,2003-03-07
6626,National Lampoon Presents Dorm Daze,2003-09-26
6627,To Be and to Have,2002-05-19
6628,The Triplets of Belleville,2003-06-11
6629,Videodrome,1983-02-04
6630,Life and Debt,2003-02-28
6631,Lagaan: Once Upon a Time in India,2001-06-15
6632,Judgment at Nuremberg,1961-12-01
6633,Journey of Hope,1990-08-01
6634,"Same Time, Next Year",1978-04-23
6635,A Brief History of Time,1991-10-01
6636,Jacob the Liar,1974-12-22
6637,Leningrad Cowboys Go America,1989-03-24
6638,The Rules of the Game,1939-06-08
6639,The Song Remains the Same,1976-11-05
6640,Seven Brides for Seven Brothers,1954-07-22
6641,Kiss of the Spider Woman,1985-07-26
6642,All the President's Men,1976-04-04
6643,Angie,1994-03-04
6644,The Apartment,1996-07-27
6645,Avalon,2001-01-20
6646,Babette's Feast,1987-08-28
6647,The Barber of Siberia,1998-10-13
6648,Beethoven,1992-04-03
6649,Beethoven's 2nd,1993-12-14
6650,Black Moon Rising,1986-01-10
6651,Boyz n the Hood,1991-07-12
6652,Bugsy,1991-12-10
6653,Bugsy Malone,1976-06-26
6654,By the Sword,1991-10-07
6655,Cobra,1986-03-21
6656,Common Wealth,2000-09-29
6657,Consenting Adults,1992-10-16
6658,Phenomena,1985-01-31
6659,Crimewave,1985-09-19
6660,Crying Freeman,1995-04-23
6661,Time and Tide,2000-10-19
6662,The Meaning of Life,1983-03-31
6663,Where Eagles Dare,1968-12-04
6664,Tightrope,1984-08-17
6665,Sleeping with the Enemy,1991-02-08
6666,PCU,1994-04-29
6667,The Rookie,1990-12-06
6668,The Ghost & Mr. Chicken,1966-01-20
6669,City Heat,1984-12-05
6670,Into the Night,1985-02-15
6671,Three O'Clock High,1987-10-09
6672,White Hunter Black Heart,1990-09-14
6673,Come and See,1985-07-01
6674,A Rage in Harlem,1991-05-03
6675,Ginger Snaps,2000-08-01
6676,More American Graffiti,1979-08-03
6677,The Ballad of Little Jo,1993-08-20
6678,Under Suspicion,1991-09-27
6679,Ruby,1992-03-27
6680,The Reluctant Astronaut,1967-09-05
6681,The Shakiest Gun in the West,1968-07-10
6682,It's Pat,1994-08-26
6683,Sunday in the Country,1974-11-22
6684,The Gun in Betty Lou's Handbag,1992-08-21
6685,Sudden Fear,1952-08-01
6686,Nobody's Baby,2001-01-01
6687,Regarding Henry,1991-07-10
6688,The Debut,2000-05-18
6689,Wilder Napalm,1993-08-20
6690,Contamination,1980-08-02
6691,The Amazing Transparent Man,1960-02-01
6692,Love Affair,1939-04-07
6693,Once in the Life,2000-10-27
6694,Try Seventeen,2002-09-10
6695,The Hospital,1971-12-14
6696,Article 99,1992-03-13
6697,Images,1972-05-01
6698,Eureka,1983-05-01
6699,Oleanna,1994-11-04
6700,Chattahoochee,1989-09-16
6701,Tough Guys Don't Dance,1987-09-18
6702,There Goes My Baby,1994-09-02
6703,Kingdom of the Spiders,1977-08-24
6704,Scrooge,1970-11-05
6705,Leap of Faith,1992-12-18
6706,Gas Food Lodging,1992-07-10
6707,In Cold Blood,1967-12-14
6708,Campus Man,1987-04-10
6709,The Bedford Incident,1965-10-11
6710,Murderous Maids,2000-11-22
6711,Yankee Doodle Dandy,1942-06-06
6712,Ninja Scroll,1993-06-05
6713,Knife in the Water,1962-03-09
6714,The Devil and Daniel Webster,1941-10-29
6715,Mobsters,1991-07-26
6716,Charlotte Sometimes,2002-03-11
6717,Out of Time,2003-10-03
6718,School of Rock,2003-10-03
6719,Concert for George,2002-11-29
6720,The Event,2003-01-01
6721,9 Dead Gay Guys,2003-09-19
6722,The Station Agent,2003-01-26
6723,Wonderland,2003-10-23
6724,Bus 174,2002-10-22
6725,Mystic River,2003-10-07
6726,Good Boy!,2003-10-10
6727,House of the Dead,2003-04-11
6728,Intolerable Cruelty,2003-09-02
6729,Kill Bill: Vol. 1,2003-10-10
6730,Dopamine,2003-10-03
6731,The Flower of Evil,2003-02-09
6732,Girls Will Be Girls,2003-07-05
6733,Porn Theater,2002-01-01
6734,Runaway Jury,2003-10-09
6735,The Texas Chainsaw Massacre,2003-10-17
6736,Pieces of April,2003-01-19
6737,Returner,2002-08-31
6738,Sylvia,2003-10-17
6739,Veronica Guerin,2003-07-11
6740,In the Cut,2003-09-09
6741,Beyond Borders,2003-10-23
6742,Radio,2003-10-24
6743,Scary Movie 3,2003-10-24
6744,Brother Bear,2003-10-23
6745,Elephant,2003-05-18
6746,Gypsy 83,2001-01-01
6747,The Singing Detective,2003-10-24
6748,The Italian Job,1969-06-02
6749,Impulse,1984-09-28
6750,Normal,2003-01-21
6751,Shoah,1985-11-01
6752,Unconditional Love,2002-08-23
6753,Sweet Sixteen,2002-05-21
6754,Alien from L.A.,1988-01-01
6755,Black Sunday,1977-03-11
6756,Men of Respect,1990-01-18
6757,Interstate 60,2002-04-13
6758,Lipstick,1976-04-02
6759,Storyville,1992-08-26
6760,That was Then... This is Now,1985-11-08
6761,Holy Matrimony,1994-04-08
6762,The Black Scorpion,1957-10-11
6763,The Eye,2002-05-09
6764,Captain Kronos: Vampire Hunter,1974-04-07
6765,The Jolson Story,1946-10-10
6766,You'll Never Get Rich,1941-09-25
6767,Frankenstein and the Monster from Hell,1973-03-31
6768,Preaching to the Perverted,1997-07-04
6769,Chicago Joe and the Showgirl,1990-05-16
6770,The Magic Sword,1962-04-01
6771,Promised Land,1987-09-01
6772,Aparajito,1956-10-11
6773,The Hired Hand,1971-08-11
6774,Le Cercle Rouge,1970-10-19
6775,Man of Marble,1977-02-25
6776,Sherlock Holmes and the Voice of Terror,1942-09-18
6777,Sherlock Holmes Faces Death,1943-09-17
6778,Sherlock Holmes in Washington,1943-04-30
6779,The Solid Gold Cadillac,1956-08-22
6780,The Human Stain,2003-10-29
6781,"Die, Mommie, Die!",2003-10-31
6782,Dirt,2001-04-21
6783,Girlhood,2003-10-13
6784,Mail Order Bride,2003-01-01
6785,Shattered Glass,2003-11-14
6786,Suspended Animation,2001-01-01
6787,The Matrix Revolutions,2003-11-05
6788,The Revolution Will Not Be Televised,2003-03-07
6789,Elf,2003-10-09
6790,Standard Time,2002-10-10
6791,Billabong Odyssey,2003-11-07
6792,Gloomy Sunday,1999-10-21
6793,In My Skin,2002-12-04
6794,Just an American Boy,2003-06-07
6795,Love Actually,2003-09-07
6796,Love Forbidden,2002-05-28
6797,Father of the Bride,1991-12-20
6798,My Architect,2003-11-12
6799,Looney Tunes: Back in Action,2003-11-14
6800,Master and Commander: The Far Side of the World,2003-11-14
6801,Tupac: Resurrection,2003-01-23
6802,The Big Empty,2003-05-16
6803,The Missing,2003-11-26
6804,The Cat in the Hat,2003-11-21
6805,Gothika,2003-11-21
6806,21 Grams,2003-09-06
6807,The Barbarian Invasions,2003-05-21
6808,Blue Gate Crossing,2002-09-27
6809,Bad Santa,2003-11-26
6810,The Haunted Mansion,2003-11-25
6811,Timeline,2003-11-26
6812,Marquis,1989-04-26
6813,Damage,1992-12-02
6814,OT: Our Town,2002-01-01
6815,Devil's Playground,2002-01-01
6816,Dance with a Stranger,1985-03-01
6817,Journeys with George,2002-03-08
6818,Darkman,1990-08-24
6819,Dead of Night,1945-09-04
6820,Death Machine,1994-12-23
6821,The Last Battle,1983-04-06
6822,Desk Set,1957-08-02
6823,Europa,1991-05-11
6824,The Watermelon Woman,1996-09-07
6825,Final Analysis,1992-02-07
6826,The Freshman,1990-07-20
6827,Funny Games,1997-05-14
6828,Tales from the Crypt,1972-03-09
6829,New Jack City,1991-03-08
6830,Slacker,1990-07-27
6831,WarGames,1983-06-03
6832,Mr. Hobbs Takes a Vacation,1962-06-15
6833,Ordet,1955-01-09
6834,Forbidden Games,1952-05-09
6835,Jane Eyre,1943-12-24
6836,A Tale of Two Cities,1935-12-25
6837,The Passion of Joan of Arc,1928-04-21
6838,Ben-Hur: A Tale of the Christ,1925-12-30
6839,The Cabinet of Dr. Caligari,1920-02-25
6840,Broken Blossoms,1919-05-13
6841,Gorky Park,1983-12-15
6842,The First Great Train Robbery,1979-01-25
6843,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984-03-30
6844,Guarding Tess,1994-03-11
6845,Hannah and Her Sisters,1986-02-07
6846,The Hard Way,1991-03-08
6847,Hercules in New York,1969-02-23
6848,Highlander II: The Quickening,1991-01-30
6849,Hoffa,1992-12-25
6850,House of Cards,1993-06-25
6851,Housesitter,1992-06-12
6852,Hudson Hawk,1991-05-23
6853,Invasion of the Body Snatchers,1978-12-19
6854,Mindwalk,1990-09-09
6855,Kafka,1991-11-15
6856,Kindergarten Cop,1990-12-21
6857,King Ralph,1991-02-15
6858,Knight Moves,1992-01-14
6859,The Last Boy Scout,1991-12-11
6860,Last Tango in Paris,1972-10-14
6861,Lorenzo's Oil,1992-12-30
6862,The Lover,1992-02-22
6863,Matador,1986-03-07
6864,Mr. Destiny,1990-10-12
6865,The Night of the Hunter,1955-04-03
6866,Nowhere to Run,1993-01-15
6867,Only the Lonely,1991-05-24
6868,Over the Top,1987-02-13
6869,Passenger 57,1992-11-05
6870,Presumed Innocent,1990-07-26
6871,Project X,1987-04-17
6872,Proof,1991-08-15
6873,Pure Luck,1991-08-09
6874,Battle Royale,2000-12-16
6875,The Wedding Banquet,1993-08-04
6876,"Salò, or the 120 Days of Sodom",1975-11-22
6877,A Midnight Clear,1992-04-24
6878,Summer School,1987-07-22
6879,Silverado,1985-07-10
6880,Quick Change,1990-07-13
6881,Rabid,1977-04-08
6882,Radio Flyer,1992-02-21
6883,The Real McCoy,1993-09-10
6884,Revenge,1990-02-16
6885,The Secret of My Success,1987-04-10
6886,Show Me Love,1998-10-23
6887,Streets of Fire,1984-06-01
6888,Teen Wolf,1985-08-23
6889,High Heels,1991-10-23
6890,Things You Can Tell Just by Looking at Her,1999-10-28
6891,Thunderheart,1992-04-03
6892,To Live and Die in L.A.,1985-11-01
6893,Trapped in Paradise,1994-12-02
6894,Betty Blue,1986-04-09
6895,Vivre Sa Vie,1962-09-20
6896,Wild at Heart,1990-05-01
6897,The Witches,1990-02-16
6898,The Witches of Eastwick,1987-06-12
6899,Year of the Dragon,1985-08-16
6900,Nothing to Lose,1997-07-18
6901,Flying Down to Rio,1933-12-29
6902,Follow the Fleet,1936-02-20
6903,What's New Pussycat?,1965-06-22
6904,Mary of Scotland,1936-08-28
6905,Roberta,1935-03-08
6906,Little Women,1949-04-01
6907,Swing Time,1936-08-27
6908,The Public Enemy,1931-04-23
6909,A Midsummer Night's Dream,1935-10-09
6910,Life with Father,1947-09-13
6911,National Velvet,1944-12-14
6912,Jesus Christ Superstar,1973-08-15
6913,Dark Victory,1939-04-22
6914,Birdman of Alcatraz,1962-07-03
6915,Aguirre: The Wrath of God,1972-12-29
6916,Beauty and the Beast,1946-10-29
6917,The Birth of a Nation,1915-02-08
6918,The Blue Kite,1994-02-02
6919,Juliet of the Spirits,1965-10-22
6920,Last Year at Marienbad,1961-05-25
6921,The Tragedy of Macbeth,1971-10-13
6922,Red River,1948-08-26
6923,A Woman Under the Influence,1974-09-19
6924,Stagecoach,1939-03-02
6925,A Shot in the Dark,1964-06-23
6926,The Navigator,1924-10-13
6927,The Court Jester,1955-12-24
6928,Bullitt,1968-10-17
6929,Way Down East,1920-09-03
6930,Jezebel,1938-03-19
6931,The Hunchback of Notre Dame,1939-12-29
6932,42nd Street,1933-02-02
6933,I'm No Angel,1933-10-06
6934,That Touch of Mink,1962-06-14
6935,Sweet Dreams,1985-10-02
6936,"Play It Again, Sam",1972-05-04
6937,Send Me No Flowers,1964-10-14
6938,Pygmalion,1938-10-06
6939,A Passage to India,1984-12-14
6940,Black Orpheus,1959-01-01
6941,Amarcord,1973-12-13
6942,Hero,2002-12-19
6943,Horse Feathers,1932-08-19
6944,Anna Karenina,1935-08-30
6945,The Front Page,1974-12-01
6946,Attraction,2001-04-22
6947,Looking for Mr. Goodbar,1977-10-19
6948,Rivers and Tides,2001-02-13
6949,The Girl from Paris,2001-09-05
6950,Seven Days to Noon,1950-10-30
6951,Nausicaä of the Valley of the Wind,1984-03-11
6952,CrissCross,1992-05-08
6953,Doc Hollywood,1991-08-02
6954,Dragnet,1987-06-25
6955,MadHouse,1990-02-16
6956,1941,1979-12-13
6957,A Shot at Glory,2000-05-03
6958,Black and White in Color,1976-01-01
6959,Foul Play,1978-07-14
6960,Crime Story,1993-06-24
6961,Beyond the Clouds,1995-06-06
6962,Blind Beast,1969-01-25
6963,Ryan's Daughter,1970-12-09
6964,Accident,1967-02-05
6965,Cabeza de Vaca,1991-10-11
6966,The Collector,1965-06-17
6967,Deep Red,1975-03-07
6968,Diabolique,1955-01-29
6969,Leprechaun,1993-01-08
6970,Royal Space Force - The Wings Of Honneamise,1987-03-14
6971,Crazy People,1990-04-13
6972,Dark Wolf,2003-04-15
6973,Adam's Rib,1949-11-18
6974,King of Hearts,1966-12-21
6975,Naked Lunch,1991-12-27
6976,Grass,1999-09-15
6977,Spring Forward,1999-09-01
6978,The Killing of a Chinese Bookie,1976-02-15
6979,Run,1991-02-01
6980,Things to Come,1936-02-20
6981,Queen of Hearts,1989-10-01
6982,Darling,1965-08-03
6983,A Summer Place,1959-11-18
6984,A Night at the Opera,1935-11-08
6985,Metalstorm: The Destruction of Jared-Syn,1983-08-19
6986,The Element of Crime,1984-05-18
6987,Shoot the Piano Player,1960-10-21
6988,Stolen Kisses,1968-08-13
6989,The Cooler,2003-01-17
6990,El Bonaerense,2002-09-19
6991,In America,2003-10-31
6992,The Legend of Leigh Bowery,2002-04-13
6993,My Flesh and Blood,2003-01-17
6994,Honey,2003-11-24
6995,The Last Samurai,2003-12-05
6996,Forget Baghdad: Jews and Arabs - The Iraqi Connection,2002-01-01
6997,What Alice Found,2003-01-25
6998,Big Fish,2003-12-25
6999,Love Don't Cost a Thing,2003-12-12
7000,Something's Gotta Give,2003-12-12
7001,Stuck on You,2003-12-10
7002,Girl with a Pearl Earring,2003-08-31
7003,The Statement,2003-12-12
7004,The Lord of the Rings: The Return of the King,2003-12-01
7005,Mona Lisa Smile,2003-12-19
7006,Calendar Girls,2003-09-02
7007,The Fog of War,2003-12-09
7008,The Hebrew Hammer,2003-01-01
7009,House of Sand and Fog,2003-12-19
7010,Two Men Went To War,2002-01-01
7011,Monster,2003-11-16
7012,Cheaper by the Dozen,2003-12-24
7013,Cold Mountain,2003-12-24
7014,Paycheck,2003-12-25
7015,Peter Pan,2003-12-25
7016,The Company,2003-09-10
7017,Young Black Stallion,2003-12-25
7018,Japanese Story,2003-09-25
7019,Secret Things,2002-10-16
7020,Chasing Liberty,2004-01-09
7021,My Baby's Daddy,2004-01-09
7022,Aileen: Life and Death of a Serial Killer,2003-09-09
7023,Distant,2002-12-20
7024,Along Came Polly,2004-01-16
7025,Teacher's Pet,2004-01-16
7026,Torque,2004-01-16
7027,Crimson Gold,2003-09-12
7028,Osama,2003-05-20
7029,The Great Gatsby,1974-03-27
7030,Wuthering Heights,1992-10-16
7031,Odds Against Tomorrow,1959-10-15
7032,Ship of Fools,1965-07-29
7033,Lord Love a Duck,1966-02-21
7034,There's a Girl in My Soup,1970-12-15
7035,This Property Is Condemned,1966-08-03
7036,Real Men,1987-09-25
7037,Once Upon a Crime,1992-03-06
7038,Beyond Therapy,1987-02-27
7039,Buster,1988-09-16
7040,"Car 54, Where Are You?",1994-01-28
7041,Jane Eyre,1971-06-04
7042,Blame It on the Bellboy,1992-03-06
7043,Only the Strong,1993-08-27
7044,The Adventures of Ford Fairlane,1990-07-11
7045,Bonjour Tristesse,1958-03-17
7046,The Enforcer,1951-02-24
7047,The Men,1950-07-20
7048,Ransom,1975-03-13
7049,The Pick-up Artist,1987-09-18
7050,Melvin Goes to Dinner,2003-12-04
7051,The Court-Martial of Billy Mitchell,1955-12-31
7052,Crime Spree,2003-04-16
7053,Beyond Re-Animator,2003-04-04
7054,Final Cut,1998-11-13
7055,Hells Angels on Wheels,1967-06-01
7056,The Wind and the Lion,1975-10-26
7057,Mon oncle,1958-05-10
7058,Where the Boys Are,1960-12-28
7059,Dr. Jekyll and Mr. Hyde,1941-08-12
7060,Monsieur  Hulot's Holiday,1953-02-26
7061,My Darling Clementine,1946-12-03
7062,People Will Talk,1951-08-29
7063,I Was a Male War Bride,1949-08-19
7064,Divorce American Style,1967-06-21
7065,Kiss Them for Me,1957-12-10
7066,To Have and Have Not,1944-10-11
7067,High Sierra,1941-01-25
7068,Dark Passage,1947-09-27
7069,The Ox-Bow Incident,1943-03-11
7070,They Drive by Night,1940-07-27
7071,Micki & Maude,1984-12-21
7072,Platinum Blonde,1931-10-31
7073,Reefer Madness,1936-01-15
7074,D.O.A.,1950-04-30
7075,The Boy with Green Hair,1948-11-16
7076,Pumping Iron,1977-01-18
7077,No Good Deed,2002-06-28
7078,The Trouble with Angels,1966-03-29
7079,Cool World,1992-07-10
7080,Money for Nothing,1993-09-10
7081,The Silencers,1966-02-18
7082,"Where Angels Go, Trouble Follows",1968-04-10
7083,Heat and Dust,1983-01-01
7084,Mesmerized,1985-11-18
7085,La Strada,1954-07-16
7086,Ichi the Killer,2001-12-22
7087,A Boy and His Dog,1975-11-20
7088,The Last Tycoon,1976-11-18
7089,Ashes and Diamonds,1958-10-03
7090,Marooned,1969-12-11
7091,King David,1985-03-29
7092,Kanał,1957-04-20
7093,Cat Chaser,1989-01-01
7094,Intolerance: Love's Struggle Throughout the Ages,1916-09-04
7095,The Beast of Yucca Flats,1961-06-02
7096,Tormented,1960-09-22
7097,The Violent Years,1956-01-01
7098,Chitty Chitty Bang Bang,1968-12-16
7099,The Legend of Suriyothai,2001-08-17
7100,Plaza Suite,1971-05-12
7101,The Out of Towners,1970-05-28
7102,Where the Day Takes You,1992-09-11
7103,The Three Stooges in Orbit,1962-07-04
7104,It,1927-02-15
7105,The Butterfly Effect,2004-01-22
7106,Win a Date with Tad Hamilton!,2004-01-23
7107,Touching the Void,2003-09-05
7108,The Big Bounce,2004-01-30
7109,The Perfect Score,2004-01-30
7110,You Got Served,2004-01-30
7111,Latter Days,2003-07-10
7112,Barbershop 2:  Back in Business,2004-01-20
7113,Catch That Kid,2004-02-06
7114,Miracle,2004-02-06
7115,An Amazing Couple,2002-09-12
7116,The Dreamers,2003-09-01
7117,The Lost Skeleton of Cadavra,2001-09-12
7118,Who's the Man?,1993-04-23
7119,Love at Large,1990-03-09
7120,Hangin' With The Homeboys,1991-04-05
7121,Sleep with Me,1994-01-01
7122,Just Between Friends,1986-03-21
7123,Super Fly,1972-08-04
7124,A Piece of the Action,1977-10-07
7125,Let's Do It Again,1975-10-11
7126,Uptown Saturday Night,1974-07-26
7127,Hell's Kitchen,1998-09-11
7128,The Innocent,1993-09-16
7129,Daddy and Them,2001-10-26
7130,The Wilby Conspiracy,1975-02-01
7131,Blacula,1972-08-25
7132,Scream Blacula Scream,1973-06-27
7133,Da Hip Hop Witch,2000-10-31
7134,Swing Shift,1984-04-13
7135,Trespass,1992-12-25
7136,Thirteen,2003-08-20
7137,Simple Men,1992-10-14
7138,The Sailor Who Fell from Grace with the Sea,1976-04-11
7139,Foolish Wives,1922-01-11
7140,"Silent Night, Bloody Night",1972-11-01
7141,The Sin of Harold Diddlebock,1947-04-04
7142,Pontiac Moon,1994-11-03
7143,Best Defense,1984-07-20
7144,50 First Dates,2004-02-13
7145,Welcome to Mooseport,2004-02-24
7146,After Life,2002-09-12
7147,Face,2002-01-01
7148,Kitchen Stories,2003-01-01
7149,The Code,2002-10-22
7150,Monsieur Ibrahim,2003-12-03
7151,Vanishing Point,1971-01-15
7152,Diary of a Country Priest,1951-02-07
7153,The Thief of Bagdad,1924-03-18
7154,The Diary of Anne Frank,1959-03-18
7155,Allegro non troppo,1976-03-12
7156,Black Widow,1987-02-06
7157,Herod's Law,1999-11-09
7158,Flesh + Blood,1985-08-30
7159,King Solomon's Mines,1985-03-20
7160,The Black Pirate,1926-03-08
7161,Raw Deal,1986-06-06
7162,"Goodbye, Mr. Chips",1939-07-28
7163,"Follow Me, Boys!",1966-12-01
7164,Fire Birds,1990-05-25
7165,Robot Stories,2003-01-01
7166,Against the Ropes,2004-02-20
7167,Confessions of a Teenage Drama Queen,2004-02-17
7168,EuroTrip,2004-02-20
7169,The Passion of the Christ,2004-02-25
7170,Club Dread,2004-02-27
7171,Dirty Dancing: Havana Nights,2004-02-27
7172,Twisted,2004-02-27
7173,Alila,2003-06-06
7174,"Good bye, Lenin!",2003-02-09
7175,Hidalgo,2004-03-05
7176,Starsky & Hutch,2004-03-05
7177,The Reckoning,2003-08-06
7178,Persona,1966-10-18
7179,The Passion of Anna,1969-11-10
7180,Walk on the Wild Side,1962-03-20
7181,Tokyo Joe,1949-10-26
7182,The Serpent's Egg,1977-10-28
7183,Fire Down Below,1957-05-30
7184,Le Corbeau,1943-09-28
7185,The Front,1976-09-17
7186,Pickup on South Street,1953-05-29
7187,The Damned,1969-10-13
7188,American Gun,2002-06-13
7189,Richard III,1955-12-13
7190,Quartet,1981-05-20
7191,Just One of the Guys,1985-04-26
7192,The Chase,1966-02-17
7193,The Kiss,1988-10-14
7194,Wisconsin Death Trip,1999-09-05
7195,The Wrong Arm of the Law,1963-03-17
7196,Agent Cody Banks 2: Destination London,2004-06-24
7197,The Girl Next Door,2004-04-09
7198,Secret Window,2004-03-12
7199,Spartan,2004-03-12
7200,Broken Wings,2002-10-24
7201,Games People Play,2004-03-12
7202,How to Draw a Bunny,2002-01-01
7203,Wilbur Wants to Kill Himself,2002-11-08
7204,Clifford,1994-04-01
7205,Mad Dog and Glory,1993-03-05
7206,The Wind in the Willows,1996-10-16
7207,Night Crossing,1982-02-05
7208,Peyton Place,1957-12-13
7209,Searching for Debra Winger,2002-07-13
7210,Walk Like a Man,1987-03-01
7211,Dawn of the Dead,2004-03-19
7212,Eternal Sunshine of the Spotless Mind,2004-03-19
7213,Taking Lives,2004-03-19
7214,The Child I Never Was,2002-01-01
7215,Intermission,2003-08-29
7216,Noi the Albino,2003-02-28
7217,Jersey Girl,2004-03-25
7218,The Ladykillers,2004-03-25
7219,Never Die Alone,2004-03-26
7220,Scooby-Doo 2: Monsters Unleashed,2004-03-24
7221,A Foreign Affair,2003-01-21
7222,Dogville,2003-05-19
7223,Ned Kelly,2003-03-22
7224,Hellboy,2004-04-02
7225,Home on the Range,2004-04-02
7226,The Prince & Me,2004-03-28
7227,Walking Tall,2004-04-02
7228,The United States of Leland,2003-01-18
7229,Johnson Family Vacation,2004-04-07
7230,The Alamo,2004-04-07
7231,Ella Enchanted,2004-04-09
7232,The Whole Ten Yards,2004-04-07
7233,I'm Not Scared,2003-02-08
7234,Shade,2003-05-18
7235,Since Otar Left,2003-09-17
7236,Twentynine Palms,2003-09-17
7237,The Ten Commandments,1956-10-05
7238,Dawn of the Dead,1978-09-02
7239,"Brother Sun, Sister Moon",1972-03-03
7240,One Million Years B.C.,1966-12-01
7241,Prey for Rock & Roll,2003-01-20
7242,"Mother, Jugs & Speed",1976-01-01
7243,Bandolero!,1968-06-01
7244,The Slugger's Wife,1985-03-29
7245,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,1965-06-03
7246,Cheaper by the Dozen,1950-03-31
7247,Scenes from a Marriage,1973-04-11
7248,Baby the Rain Must Fall,1965-01-12
7249,Belles on their Toes,1952-05-01
7250,Ned Kelly,1970-07-01
7251,Beyond the Stars,1989-01-01
7252,Mac,1992-09-17
7253,The Food of the Gods,1976-06-18
7254,Food of the Gods II,1989-05-18
7255,Anna,1988-12-15
7256,Road to Bali,1952-01-01
7257,The Flying Deuces,1939-10-28
7258,Africa Screams,1949-05-04
7259,Jack and the Beanstalk,1952-01-01
7260,High Risk,1981-01-01
7261,The Osterman Weekend,1983-10-14
7262,Munchies,1987-03-01
7263,The Cat and the Canary,1979-11-01
7264,Hangman's Curse,2003-09-12
7265,Going in Style,1979-12-07
7266,The Late Show,1977-02-10
7267,The Sunshine Boys,1975-11-06
7268,Jersey Girl,1992-07-31
7269,The American Nightmare,2000-09-11
7270,After Hours,1985-09-13
7271,Viva Las Vegas,1964-05-20
7272,Love and Anarchy,1973-02-23
7273,Hitman Hart: Wrestling with Shadows,1998-12-20
7274,Connie and Carla,2004-04-16
7275,Kill Bill: Vol. 2,2004-04-16
7276,The Punisher,2004-04-15
7277,Paper Clips,2004-09-08
7278,A Thousand Clouds of Peace,2003-05-26
7279,Young Adam,2003-09-26
7280,"This So-Called Disaster: Sam Shepard Directs ""The Late Henry Moss""",2003-01-01
7281,13 Going on 30,2004-04-13
7282,Man on Fire,2004-04-23
7283,Clifford's Really Big Movie,2004-04-23
7284,MC5: A True Testimonial,2002-02-02
7285,Envy,2004-04-30
7286,Godsend,2004-04-30
7287,Laws of Attraction,2004-04-04
7288,Mean Girls,2004-04-30
7289,Mickey,2004-05-02
7290,New York Minute,2004-05-01
7291,Van Helsing,2004-05-05
7292,The Mudge Boy,2003-01-17
7293,Valentin,2003-04-11
7294,Breakin' All the Rules,2004-05-14
7295,Troy,2004-05-13
7296,Carandiru,2003-03-21
7297,Coffee and Cigarettes,2003-09-05
7298,Strayed,2003-08-20
7299,Dance Me Outside,1995-03-10
7300,The Boys in the Band,1970-03-16
7301,Raid,2003-01-31
7302,D-Tox,2002-01-04
7303,Swimming to Cambodia,1987-03-13
7304,Watch on the Rhine,1943-08-27
7305,Under Fire,1983-10-21
7306,Enemy Mine,1985-12-12
7307,Enter the Dragon,1973-08-17
7308,Foreign Land,1996-09-04
7309,The Rolling Stones: Gimme Shelter,1970-12-06
7310,Good Morning,1959-05-12
7311,Happy Together,1997-05-17
7312,Henry & June,1990-09-28
7313,Berkeley in the Sixties,1990-01-01
7314,The Nasty Girl,1990-02-15
7315,Entre Nous,1983-04-06
7316,The Naked Prey,1965-06-01
7317,Martin,1978-07-05
7318,The Three Faces of Eve,1957-12-23
7319,The Kingdom,1994-11-23
7320,Mercy,2000-02-11
7321,Desperate Hours,1990-10-05
7322,The Passion of Ayn Rand,1999-01-27
7323,Along the Coast,1958-01-01
7324,100 Girls,2000-09-01
7325,Fail-Safe,1964-10-07
7326,Paperhouse,1988-01-01
7327,Dobermann,1997-06-18
7328,The Discovery of Heaven,2001-10-01
7329,Kwaidan,1964-12-29
7330,Cat-Women of the Moon,1953-09-03
7331,28 Up,1984-11-20
7332,Chance,2002-09-22
7333,You Only Live Twice,1967-06-12
7334,Octopussy,1983-06-05
7335,The Blue Gardenia,1953-03-23
7336,Wit,2001-02-09
7337,Never Say Never Again,1983-10-07
7338,Maborosi,1995-10-01
7339,The Magic Flute,1975-01-01
7340,Midnight,1939-03-24
7341,Pride and Prejudice,1940-07-26
7342,The Man in the Gray Flannel Suit,1956-05-08
7343,The Fountainhead,1949-07-02
