,title,crew,return,release_date,release_year,budget,revenue
3384,Network,['Sidney Lumet'],6.23,1976-11-01,1976,3800000,23689877.0
3385,No Way Out,['Roger Donaldson'],2.37,1987-08-14,1987,15000000,35509515.0
3386,North Dallas Forty,['Ted Kotcheff'],0.0,1979-08-03,1979,0,26079312.0
3387,The Odd Couple,['Gene Saks'],0.0,1968-02-07,1968,0,44527234.0
3388,The Outlaw Josey Wales,['Clint Eastwood'],8.59,1976-06-30,1976,3700000,31800000.0
3389,Black and White,['James Toback'],0.52,1999-09-04,1999,10000000,5241315.0
3390,Frequency,['Gregory Hoblit'],2.2,2000-04-28,2000,31000000,68106245.0
3391,Ready to Rumble,['Brian Robbins'],0.52,2000-04-07,2000,24000000,12372410.0
3392,Return to Me,['Bonnie Hunt'],1.53,2000-04-07,2000,24000000,36609995.0
3393,Rules of Engagement,['William Friedkin'],1.18,2000-04-07,2000,60000000,71000000.0
3394,Joe Gould's Secret,['Stanley Tucci'],0.0,2000-01-21,2000,0,0.0
3395,Me Myself I,['Pip Karmel'],0.0,2000-04-20,2000,0,369975.0
3396,"Bell, Book and Candle",['Richard Quine'],0.0,1958-12-25,1958,0,0.0
3397,The Bells,['James Young'],0.0,1926-07-29,1926,0,0.0
3398,The End of Violence,['Wim Wenders'],0.0,1997-09-12,1997,5000000,0.0
3399,Force 10 from Navarone,['Guy Hamilton'],1.45,1978-11-01,1978,5000000,7230000.0
3400,How to Stuff a Wild Bikini,['William Asher'],0.0,1965-07-14,1965,0,0.0
3401,Mystery Train,['Jim Jarmusch'],0.0,1989-09-06,1989,2800000,0.0
3402,Sacco & Vanzetti,['Giuliano Montaldo'],0.0,1971-03-16,1971,0,0.0
3403,Taffin,['Francis Megahy'],0.0,1988-02-26,1988,0,0.0
3404,Arthur,['Steve Gordon'],13.64,1981-07-17,1981,7000000,95461682.0
3405,Bachelor Party,['Neal Israel'],6.41,1984-06-29,1984,6000000,38435947.0
3406,Parenthood,['Ron Howard'],0.0,1989-07-31,1989,0,126297830.0
3407,Predator,['John McTiernan'],5.46,1987-06-11,1987,18000000,98235548.0
3408,The Prince of Tides,['Barbra Streisand'],2.49,1991-12-25,1991,30000000,74787599.0
3409,The Postman Always Rings Twice,['Bob Rafelson'],0.0,1981-03-20,1981,12000000,0.0
3410,Smoking / No Smoking,['Alain Resnais'],0.0,1993-12-15,1993,0,0.0
3411,All the Vermeers in New York,['Jon Jost'],0.0,1990-09-11,1990,0,0.0
3412,An Actor's Revenge,['Kon Ichikawa'],0.0,1963-01-13,1963,0,0.0
3413,28 Days,['Betty Thomas'],0.0,2000-04-06,2000,43000000,0.0
3414,American Psycho,['Mary Harron'],4.9,2000-04-13,2000,7000000,34266564.0
3415,Keeping the Faith,['Edward Norton'],1.23,2000-04-14,2000,30000000,37036004.0
3416,Where the Money is,['Marek Kanievska'],0.0,2000-04-14,2000,0,0.0
3417,East Is East,"[""Damien O'Donnell""]",7.42,1999-05-14,1999,3800000,28200000.0
3418,The Filth and the Fury,['Julien Temple'],0.0,2000-03-29,2000,0,0.0
3419,Passion of Mind,['Alain Berliner'],0.0,2000-01-07,2000,0,0.0
3420,Third World Cop,['Chris Browne'],0.0,1999-09-14,1999,0,40717.0
3421,Coming Apart,['Milton Moses Ginsberg'],0.0,1969-10-26,1969,0,0.0
3422,Diner,['Barry Levinson'],0.0,1982-04-02,1982,0,0.0
3423,Shakes the Clown,['Bobcat Goldthwait'],0.0,1991-03-13,1991,1400000,0.0
3424,Cabaret,['Bob Fosse'],0.0,1972-02-13,1972,6000000,0.0
3425,What Ever Happened to Baby Jane?,['Robert Aldrich'],0.0,1962-10-31,1962,980000,0.0
3426,Prick Up Your Ears,['Stephen Frears'],0.0,1987-04-17,1987,0,0.0
3427,Auntie Mame,['Morton DaCosta'],0.0,1958-12-27,1958,0,0.0
3428,Guys and Dolls,['Joseph L. Mankiewicz'],0.0,1955-11-03,1955,5500000,0.0
3429,The Hunger,['Tony Scott'],0.0,1983-04-29,1983,0,5979292.0
3430,Marathon Man,['John Schlesinger'],3.34,1976-10-05,1976,6500000,21709020.0
3431,Caddyshack,['Harold Ramis'],6.64,1980-07-25,1980,6000000,39846344.0
3432,Gossip,['Davis Guggenheim'],0.36,2000-04-21,2000,14000000,5108820.0
3433,Love & Basketball,['Gina Prince-Bythewood'],1.39,2000-04-21,2000,20000000,27728118.0
3434,U-571,['Jonathan Mostow'],2.06,2000-04-20,2000,62000000,127666415.0
3435,The Virgin Suicides,['Sofia Coppola'],1.73,1999-04-21,1999,6000000,10409377.0
3436,Jennifer Eight,['Bruce Robinson'],0.57,1992-11-06,1992,20000000,11390479.0
3437,The Law,['Jules Dassin'],0.0,1959-01-25,1959,0,0.0
3438,Limelight,['Charlie Chaplin'],0.0,1952-10-31,1952,0,0.0
3439,Empire of Passion,['Nagisa Ōshima'],0.0,1978-01-01,1978,0,0.0
3440,Stacy's Knights,['Jim Wilson'],0.0,1983-06-01,1983,0,0.0
3441,Committed,['Lisa Krueger'],0.0,2000-01-21,2000,3000000,0.0
3442,The Crow: Salvation,['Bharat Nalluri'],0.0,2000-10-31,2000,10000000,0.0
3443,The Flintstones in Viva Rock Vegas,['Brian Levant'],0.72,2000-04-28,2000,83000000,59468275.0
3444,Where the Heart Is,['Matt Williams'],2.25,2000-04-27,2000,15000000,33771174.0
3445,The Big Kahuna,['John Swanbeck'],0.53,2000-04-28,2000,7000000,3728888.0
3446,Bossa Nova,['Bruno Barreto'],0.0,2000-01-01,2000,0,0.0
3447,Smiling Fish & Goat On Fire,['Kevin Jordan'],0.0,1999-09-16,1999,0,0.0
3448,The Idiots,['Lars von Trier'],0.0,1998-04-28,1998,2500000,7235.0
3449,The Last September,['Deborah Warner'],0.0,2000-04-28,2000,0,0.0
3450,Timecode,['Mike Figgis'],0.0,2000-03-22,2000,4000000,0.0
3451,Carnosaur,"['Adam Simon', 'Darren Moloney']",1.75,1993-05-21,1993,1000000,1753979.0
3452,Carnosaur 2,['Louis Morneau'],0.0,1995-02-23,1995,0,0.0
3453,Carnosaur 3: Primal Species,['Jonathan Winfrey'],0.0,1996-11-21,1996,0,0.0
3454,Defying Gravity,['John Keitel'],0.0,1997-07-09,1997,0,0.0
3455,The Hidden,['Jack Sholder'],0.0,1987-10-30,1987,0,0.0
3456,Two Moon Junction,['Zalman King'],0.0,1988-04-29,1988,0,1547397.0
3457,Gladiator,['Ridley Scott'],4.44,2000-05-01,2000,103000000,457640427.0
3458,I Dreamed of Africa,['Hugh Hudson'],0.0,2000-05-05,2000,34000000,0.0
3459,Up at the Villa,['Philip Haas'],0.0,2000-04-14,2000,0,0.0
3460,Human Traffic,['Justin Kerrigan'],6.67,1999-06-04,1999,600000,4000000.0
3461,Black Tights,['Terence Young'],0.0,1962-02-20,1962,0,0.0
3462,Breathless,['Jim McBride'],0.0,1983-05-13,1983,0,19910002.0
3463,The Great Locomotive Chase,['Francis D. Lyon'],0.0,1956-06-08,1956,0,0.0
3464,The Idolmaker,['Taylor Hackford'],0.0,1980-11-14,1980,0,0.0
3465,Inferno,['Dario Argento'],0.0,1980-02-07,1980,3000000,0.0
3466,The King of Marvin Gardens,['Bob Rafelson'],0.0,1972-10-12,1972,0,0.0
3467,"The Nibelungs, Tale 1: Siegfried",['Harald Reinl'],0.0,1966-12-13,1966,0,0.0
3468,The Lords of Flatbush,"['Martin Davidson', 'Stephen Verona']",25.0,1974-05-01,1974,160000,4000000.0
3469,Mr. Mom,['Stan Dragoti'],0.0,1983-07-22,1983,0,64783827.0
3470,Time Masters,['René Laloux'],0.0,1982-03-24,1982,0,0.0
3471,Battlefield Earth,['Roger Christian'],0.49,2000-05-10,2000,44000000,21400000.0
3472,Center Stage,['Nicholas Hytner'],0.96,2000-05-12,2000,18000000,17200925.0
3473,Held Up,['Steve Rash'],0.0,1999-10-08,1999,0,0.0
3474,Screwed,"['Scott Alexander', 'Larry Karaszewski']",0.0,2000-05-12,2000,0,0.0
3475,Whipped,['Peter M. Cohen'],0.0,2000-09-01,2000,3000000,0.0
3476,Hamlet,['Michael Almereyda'],0.78,2000-05-12,2000,2000000,1568749.0
3477,Anchors Aweigh,['George Sidney'],0.0,1945-07-14,1945,0,0.0
3478,Blue Hawaii,['Norman Taurog'],0.0,1961-11-22,1961,0,0.0
3479,The Castaway Cowboy,['Vincent McEveety'],0.0,1974-08-01,1974,0,0.0
3480,G.I. Blues,['Norman Taurog'],0.0,1960-11-23,1960,0,0.0
3481,The Gay Deceivers,['Bruce Kessler'],0.0,1969-07-30,1969,0,0.0
3482,Gypsy,['Mervyn LeRoy'],0.0,1962-12-01,1962,0,0.0
3483,King Creole,['Michael Curtiz'],0.0,1958-07-02,1958,0,0.0
3484,On the Town,"['Stanley Donen', 'Gene Kelly']",0.0,1949-12-08,1949,2111250,0.0
3485,One Little Indian,['Bernard McEveety'],0.0,1973-06-20,1973,0,0.0
3486,Pee-wee's Big Adventure,['Tim Burton'],6.82,1985-07-26,1985,6000000,40940662.0
3487,Regret to Inform,['Barbara Sonneborn'],0.0,1999-01-01,1999,0,0.0
3488,Roustabout,['John Rich'],0.0,1964-11-11,1964,0,3000000.0
3489,Saludos Amigos,"['William Roberts', 'Hamilton Luske', 'Wilfred Jackson', 'Jack Kinney']",0.0,1942-08-24,1942,0,0.0
3490,The Slipper and the Rose,['Bryan Forbes'],0.0,1976-03-24,1976,0,0.0
3491,Things Change,['David Mamet'],0.0,1988-10-21,1988,0,0.0
3492,Honeymoon in Vegas,['Andrew Bergman'],0.0,1992-08-28,1992,25000000,0.0
3493,Dinosaur,"['Ralph Zondag', 'Eric Leighton']",2.78,2000-05-19,2000,127500000,354248063.0
3494,Loser,['Amy Heckerling'],0.0,2000-07-21,2000,0,0.0
3495,Road Trip,['Todd Phillips'],7.48,2000-05-19,2000,16000000,119754278.0
3496,Small Time Crooks,['Woody Allen'],0.0,2000-05-19,2000,0,0.0
3497,The Hollywood Knights,['Floyd Mutrux'],4.0,1980-05-30,1980,2500000,10000000.0
3498,The Myth Of Fingerprints,['Bart Freundlich'],0.23,1997-09-17,1997,2000000,458815.0
3499,Possession,['Andrzej Żuławski'],0.0,1981-05-27,1981,0,0.0
3500,The Twelve Chairs,['Mel Brooks'],0.0,1970-10-28,1970,0,0.0
3501,Mission: Impossible II,['John Woo'],4.37,2000-05-24,2000,125000000,546388105.0
3502,Shanghai Noon,['Tom Dey'],1.04,2000-05-26,2000,55000000,56932305.0
3503,Better Living Through Circuitry,['Jon Reiss'],0.0,1999-01-01,1999,0,0.0
3504,8 ½ Women,['Peter Greenaway'],0.0,1999-05-22,1999,0,0.0
3505,Carnival of Souls,['Herk Harvey'],0.0,1962-09-26,1962,30000,0.0
3506,Flying Tigers,['David Miller'],0.0,1942-10-08,1942,0,0.0
3507,The Gold Rush,['Charlie Chaplin'],2.71,1925-06-25,1925,923000,2500000.0
3508,Lisa and the Devil,['Mario Bava'],0.0,1973-05-08,1973,1000000,0.0
3509,It's in the Water,['Kelli Herd'],0.0,1997-01-30,1997,0,0.0
3510,Monsieur Verdoux,['Charlie Chaplin'],0.0,1947-04-11,1947,2000000,0.0
3511,On Her Majesty's Secret Service,['Peter R. Hunt'],12.61,1969-12-12,1969,6500000,81974493.0
3512,Seven Days in May,['John Frankenheimer'],0.0,1964-02-12,1964,0,0.0
3513,The Spy Who Loved Me,['Lewis Gilbert'],13.25,1977-07-07,1977,14000000,185438673.0
3514,Those Who Love Me Can Take the Train,['Patrice Chéreau'],0.0,1998-05-15,1998,0,0.0
3515,Vagabond,['Agnès Varda'],0.0,1985-12-04,1985,0,0.0
3516,Moonraker,['Lewis Gilbert'],6.19,1979-06-26,1979,34000000,210308099.0
3517,The Man with the Golden Gun,['Guy Hamilton'],13.94,1974-12-01,1974,7000000,97572000.0
3518,A King in New York,['Charlie Chaplin'],0.0,1957-10-25,1957,0,0.0
3519,A Woman of Paris,['Charlie Chaplin'],0.0,1923-10-01,1923,0,0.0
3520,In Old California,['William C. McGann'],0.0,1942-05-31,1942,0,0.0
3521,The Fighting Seabees,['Edward Ludwig'],0.0,1944-01-27,1944,0,0.0
3522,Dark Command,['Raoul Walsh'],0.0,1940-04-15,1940,0,0.0
3523,Cléo from 5 to 7,['Agnès Varda'],0.0,1962-04-11,1962,0,0.0
3524,Big Momma's House,['Raja Gosnell'],5.8,2000-05-31,2000,30000000,173959438.0
3525,Running Free,['Sergei Bodrov'],0.0,1999-11-11,1999,0,0.0
3526,The Abominable Snowman,['Val Guest'],0.0,1957-08-26,1957,0,0.0
3527,American Gigolo,['Paul Schrader'],4.74,1980-02-08,1980,4800000,22743674.0
3528,Anguish,['Bigas Luna'],0.0,1987-11-10,1987,0,0.0
3529,The Blood Spattered Bride,['Vicente Aranda'],0.0,1972-09-30,1972,0,0.0
3530,City of the Living Dead,['Lucio Fulci'],0.0,1980-08-11,1980,0,0.0
3531,The Endless Summer,['Bruce Brown'],0.0,1966-06-15,1966,0,0.0
3532,The Guns of Navarone,['J. Lee Thompson'],4.82,1961-04-27,1961,6000000,28900000.0
3533,La Grande Bouffe,['Marco Ferreri'],0.0,1973-05-16,1973,0,0.0
3534,Lured,['Douglas Sirk'],0.0,1947-08-28,1947,0,0.0
3535,Pandora and the Flying Dutchman,['Albert Lewin'],0.0,1951-02-15,1951,0,0.0
3536,Quatermass and the Pit,['Roy Ward Baker'],0.0,1967-11-09,1967,0,0.0
3537,Quatermass II,['Val Guest'],0.0,1957-05-24,1957,0,0.0
3538,Puppet Master,['David Schmoeller'],0.0,1989-10-12,1989,0,0.0
3539,Puppet Master II,['Dave Allen'],0.0,1990-11-28,1990,780000,0.0
3540,Puppet Master III Toulon's Revenge,['David DeCoteau'],0.0,1991-10-17,1991,800000,0.0
3541,Puppet Master 4,['Jeff Burr'],0.0,1993-11-24,1993,0,0.0
3542,Puppet Master 5: The Final Chapter,['Jeff Burr'],0.0,1994-09-21,1994,0,0.0
3543,Curse of the Puppet Master,['David DeCoteau'],0.0,1998-05-26,1998,0,0.0
3544,Retro Puppet Master,['David DeCoteau'],0.0,1999-11-09,1999,0,0.0
3545,Rent-a-Cop,['Jerry London'],0.0,1987-11-28,1987,0,0.0
3546,Romeo and Juliet,['Franco Zeffirelli'],0.0,1968-04-02,1968,0,38901218.0
3547,Stay Tuned,['Peter Hyams'],0.43,1992-08-14,1992,25000000,10736401.0
3548,The Story of G.I. Joe,['William A. Wellman'],0.0,1945-07-13,1945,0,0.0
3549,Blazing Saddles,['Mel Brooks'],45.96,1974-02-07,1974,2600000,119500000.0
3550,Benji,['Joe Camp'],0.0,1974-10-17,1974,0,0.0
3551,Benji the Hunted,['Joe Camp'],0.0,1987-06-17,1987,0,0.0
3552,For the Love of Benji,['Joe Camp'],0.0,1977-06-10,1977,0,0.0
3553,White Christmas,['Michael Curtiz'],0.0,1954-10-13,1954,0,0.0
3554,Eraserhead,['David Lynch'],700.0,1977-03-19,1977,10000,7000000.0
3555,Baraka,['Ron Fricke'],0.0,1992-09-15,1992,4000000,0.0
3556,The Man with the Golden Arm,['Otto Preminger'],0.0,1955-12-14,1955,0,0.0
3557,The Decline of Western Civilization,['Penelope Spheeris'],0.0,1981-07-01,1981,100000,0.0
3558,The Decline of Western Civilization Part II: The Metal Years,['Penelope Spheeris'],0.0,1988-06-17,1988,0,0.0
3559,For a Few Dollars More,['Sergio Leone'],25.0,1965-12-18,1965,600000,15000000.0
3560,Magnum Force,['Ted Post'],0.0,1973-12-23,1973,0,39768000.0
3561,Blood Simple,['Joel Coen'],0.0,1984-09-07,1984,1500000,0.0
3562,The Fabulous Baker Boys,['Steve Kloves'],0.0,1989-10-13,1989,13000000,0.0
3563,Prizzi's Honor,['John Huston'],0.0,1985-06-14,1985,0,26657534.0
3564,Flatliners,['Joel Schumacher'],2.36,1990-08-09,1990,26000000,61489265.0
3565,Gandahar,['René Laloux'],0.0,1987-12-11,1987,0,0.0
3566,Porky's,['Bob Clark'],31.43,1981-11-13,1981,4000000,125728258.0
3567,Porky's II: The Next Day,['Bob Clark'],5.19,1983-06-24,1983,6500000,33759266.0
3568,Porky's 3: Revenge,['James Komack'],2.28,1985-03-22,1985,9000000,20518905.0
3569,Private School,['Noel Black'],0.0,1983-07-29,1983,0,0.0
3570,Class of Nuke 'Em High,"['Richard W. Haines', 'Lloyd Kaufman']",0.0,1986-12-12,1986,2000000,0.0
3571,The Toxic Avenger,"['Lloyd Kaufman', 'Michael Herz']",0.0,1984-05-01,1984,0,0.0
3572,The Toxic Avenger Part II,"['Michael Herz', 'Lloyd Kaufman']",0.0,1989-02-24,1989,0,0.0
3573,The Toxic Avenger Part III: The Last Temptation of Toxie,"['Michael Herz', 'Lloyd Kaufman']",0.0,1989-11-24,1989,0,0.0
3574,Night of the Creeps,['Fred Dekker'],0.0,1986-08-21,1986,0,0.0
3575,Predator 2,['Stephen Hopkins'],1.63,1990-11-20,1990,35000000,57120318.0
3576,The Running Man,['Paul Michael Glaser'],1.41,1987-11-13,1987,27000000,38122105.0
3577,Starman,['John Carpenter'],1.31,1984-12-13,1984,22000000,28744356.0
3578,The Brother from Another Planet,['John Sayles'],0.0,1984-09-07,1984,0,0.0
3579,Alien Nation,['Graham Baker'],2.01,1988-10-07,1988,16000000,32155047.0
3580,Mad Max,['George Miller'],250.0,1979-04-12,1979,400000,100000000.0
3581,Mad Max 2: The Road Warrior,['George Miller'],12.3,1981-12-24,1981,2000000,24600832.0
3582,Mad Max Beyond Thunderdome,"['George Miller', 'George Ogilvie']",2.94,1985-06-29,1985,12305523,36230219.0
3583,Bird on a Wire,['John Badham'],0.0,1990-05-18,1990,20000000,0.0
3584,Angel Heart,['Alan Parker'],1.01,1987-03-06,1987,17000000,17185632.0
3585,Nine 1/2 Weeks,['Adrian Lyne'],0.4,1986-02-14,1986,17000000,6735922.0
3586,Firestarter,['Mark L. Lester'],1.14,1984-05-11,1984,15000000,17080167.0
3587,Sleepwalkers,['Mick Garris'],0.0,1992-04-10,1992,0,30524763.0
3588,Action Jackson,['Craig R. Baxley'],2.89,1988-02-12,1988,7000000,20256975.0
3589,Sarafina!,['Darrell James Roodt'],0.0,1992-09-18,1992,0,0.0
3590,Soapdish,['Michael Hoffman'],0.0,1991-05-31,1991,0,36489888.0
3591,The Long Walk Home,['Richard Pearce'],0.0,1990-12-21,1990,0,0.0
3592,Clara's Heart,['Robert Mulligan'],0.0,1988-10-07,1988,0,0.0
3593,Burglar,['Hugh Wilson'],0.0,1987-03-20,1987,0,0.0
3594,Fatal Beauty,['Tom Holland'],0.0,1987-10-30,1987,0,0.0
3595,Gone in Sixty Seconds,['Dominic Sena'],2.64,2000-06-09,2000,90000000,237202299.0
3596,American Pimp,"['Albert Hughes', 'Allen Hughes']",0.0,1999-01-01,1999,0,0.0
3597,Love's Labour's Lost,['Kenneth Branagh'],0.02,2000-03-31,2000,13000000,299792.0
3598,Sunshine,['István Szabó'],0.0,1999-09-13,1999,0,0.0
3599,Trixie,['Alan Rudolph'],0.0,2000-06-28,2000,0,0.0
3600,American Virgin,['Jean-Pierre Marois'],0.0,2000-06-02,2000,0,0.0
3601,Hamlet,['Franco Zeffirelli'],0.0,1990-12-19,1990,0,20710451.0
3602,Coming Home,['Hal Ashby'],0.0,1978-02-15,1978,3000000,0.0
3603,American Pop,['Ralph Bakshi'],0.0,1981-02-13,1981,0,6000000.0
3604,Assault on Precinct 13,['John Carpenter'],0.0,1976-11-05,1976,150000,0.0
3605,Near Dark,['Kathryn Bigelow'],0.0,1987-10-02,1987,5000000,0.0
3606,One False Move,['Carl Franklin'],0.0,1992-05-08,1992,0,1543112.0
3607,Shaft,['Gordon Parks'],3.03,1971-07-02,1971,4000000,12121618.0
3608,The Conversation,['Francis Ford Coppola'],2.76,1974-04-07,1974,1600000,4420000.0
3609,Cutter's Way,['Ivan Passer'],0.0,1981-03-19,1981,3000000,0.0
3610,The Fury,['Brian De Palma'],4.36,1978-03-10,1978,5500000,24000000.0
3611,The Paper Chase,['James Bridges'],0.0,1973-10-16,1973,0,0.0
3612,Prince of the City,['Sidney Lumet'],0.0,1981-08-19,1981,0,0.0
3613,Serpico,['Sidney Lumet'],9.93,1973-12-05,1973,3000000,29800000.0
3614,Ace in the Hole,['Billy Wilder'],0.71,1951-06-29,1951,1821052,1300000.0
3615,Lonely Are the Brave,['David Miller'],0.0,1962-05-24,1962,0,0.0
3616,The Sugarland Express,['Steven Spielberg'],4.27,1974-04-05,1974,3000000,12800000.0
3617,Trouble in Paradise,['Ernst Lubitsch'],0.0,1932-10-21,1932,0,0.0
3618,Big Trouble in Little China,['John Carpenter'],0.44,1986-05-30,1986,25000000,11000000.0
3619,Badlands,['Terrence Malick'],0.0,1973-10-15,1973,0,0.0
3620,Battleship Potemkin,['Sergei M. Eisenstein'],0.0,1925-12-24,1925,0,45100.0
3621,Boys and Girls,['Robert Iscove'],1.29,2000-06-16,2000,16000000,20627372.0
3622,Shaft,['John Singleton'],2.33,2000-06-15,2000,46000000,107196498.0
3623,Titan A.E.,"['Gary Goldman', 'Don Bluth']",0.49,2000-06-16,2000,75000000,36754634.0
3624,Butterfly,['José Luis Cuerda'],2.0,1999-09-24,1999,3000000,6000000.0
3625,Jesus' Son,['Alison Maclean'],0.0,1999-09-05,1999,0,0.0
3626,The Match,['Mick Davis'],0.0,1999-08-13,1999,0,0.0
3627,Time Regained,['Raúl Ruiz'],0.0,1999-05-19,1999,0,0.0
3628,Chicken Run,"['Nick Park', 'Peter Lord']",5.0,2000-06-21,2000,45000000,224834564.0
3629,"Me, Myself & Irene","['Bobby Farrelly', 'Peter Farrelly']",2.93,2000-06-22,2000,51000000,149270999.0
3630,The Patriot,['Roland Emmerich'],1.96,2000-06-28,2000,110000000,215294342.0
3631,The Adventures of Rocky & Bullwinkle,['Des McAnuff'],0.46,2000-06-30,2000,76000000,35134820.0
3632,The Perfect Storm,['Wolfgang Petersen'],2.71,2000-03-15,2000,120000000,325756637.0
3633,The Golden Bowl,['James Ivory'],0.0,2000-05-14,2000,15000000,0.0
3634,Asylum,['Roy Ward Baker'],0.0,1972-11-17,1972,0,0.0
3635,Communion,['Philippe Mora'],0.0,1989-11-10,1989,0,1919653.0
3636,Fun & Fancy Free,"['Jack Kinney', 'Hamilton Luske', 'William Roberts', 'William Morgan']",0.0,1947-09-27,1947,0,0.0
3637,The Kentucky Fried Movie,['John Landis'],0.0,1977-08-10,1977,600000,0.0
3638,Bound by Honor,['Taylor Hackford'],0.0,1993-02-05,1993,35000000,0.0
3639,Daughter of Dr. Jekyll,['Edgar G. Ulmer'],0.0,1957-06-28,1957,0,0.0
3640,F/X,['Robert Mandel'],0.0,1986-02-07,1986,0,20603715.0
3641,F/X2,['Richard Franklin'],0.0,1991-04-16,1991,16400000,0.0
3642,The Hot Spot,['Dennis Hopper'],0.0,1990-10-12,1990,0,1293976.0
3643,Missing in Action,['Joseph Zito'],15.21,1984-11-16,1984,1500000,22812411.0
3644,Missing in Action 2: The Beginning,['Lance Hool'],4.46,1985-03-01,1985,2410000,10755447.0
3645,Braddock: Missing in Action III,['Aaron Norris'],0.0,1988-01-22,1988,0,6193901.0
3646,Thunderbolt and Lightfoot,['Michael Cimino'],0.0,1974-05-23,1974,0,21700000.0
3647,Dreamscape,['Joseph Ruben'],0.0,1984-08-15,1984,0,12145169.0
3648,The Golden Voyage of Sinbad,['Gordon Hessler'],0.0,1973-12-20,1973,0,11000000.0
3649,Hatchet for the Honeymoon,['Mario Bava'],0.0,1970-06-02,1970,0,0.0
3650,House Party,['Reginald Hudlin'],10.55,1990-03-09,1990,2500000,26386000.0
3651,House Party 2,"['George Jackson', 'Doug McHenry']",0.0,1991-10-23,1991,0,0.0
3652,Make Mine Music,"['Robert Cormack', 'Clyde Geronimi', 'Jack Kinney', 'Hamilton Luske', 'Joshua Meador']",0.0,1946-04-26,1946,68,0.0
3653,Melody Time,"['Clyde Geronimi', 'Jack Kinney', 'Wilfred Jackson', 'Hamilton Luske']",0.0,1948-05-27,1948,2000000,0.0
3654,Nekromantik,['Jörg Buttgereit'],0.0,1987-05-27,1987,0,0.0
3655,On Our Merry Way,"['John Huston', 'George Stevens', 'King Vidor', 'Leslie Fenton']",0.0,1948-02-03,1948,0,0.0
3656,Project Moon Base,['Richard Talmadge'],0.0,1953-09-04,1953,0,0.0
3657,Rocketship X-M,['Kurt Neumann'],0.0,1950-06-02,1950,0,0.0
3658,Shaft in Africa,['John Guillermin'],0.68,1973-06-14,1973,2142000,1458000.0
3659,Shaft's Big Score!,['Gordon Parks'],5.06,1972-06-08,1972,1978000,10000000.0
3660,Croupier,['Mike Hodges'],0.0,1998-06-25,1998,0,0.0
3661,The Kid,['Jon Turteltaub'],1.07,2000-07-07,2000,65000000,69700000.0
3662,Scary Movie,['Keenen Ivory Wayans'],14.63,2000-07-07,2000,19000000,278019771.0
3663,But I'm a Cheerleader,['Jamie Babbit'],2.17,1999-09-12,1999,1200000,2600000.0
3664,Shower,['Zhang Yang'],0.0,1999-09-13,1999,0,0.0
3665,Blow-Up,['Michelangelo Antonioni'],0.0,1966-12-18,1966,0,0.0
3666,The Pawnbroker,['Sidney Lumet'],0.0,1965-04-20,1965,500000,0.0
3667,Groove,['Greg Harrison'],0.0,2000-06-08,2000,0,0.0
3668,Footloose,['Herbert Ross'],9.76,1984-02-17,1984,8200000,80035402.0
3669,Duel in the Sun,['King Vidor'],3.4,1946-12-31,1946,6000000,20400000.0
3670,X-Men,['Bryan Singer'],3.95,2000-07-13,2000,75000000,296339527.0
3671,Chuck & Buck,['Miguel Arteta'],0.0,2000-01-21,2000,0,0.0
3672,The Five Senses,['Jeremy Podeswa'],0.0,1999-05-18,1999,0,0.0
3673,The Wisdom of Crocodiles,['Po-Chih Leong'],0.0,1998-11-27,1998,0,0.0
3674,The In Crowd,['Mary Lambert'],0.35,2000-07-19,2000,15000000,5217498.0
3675,What Lies Beneath,['Robert Zemeckis'],1.55,2000-07-21,2000,100000000,155464351.0
3676,Pokémon: The Movie 2000,"['Michael Haigney', 'Kunihiko Yuyama']",4.46,1999-07-17,1999,30000000,133949270.0
3677,Criminal Lovers,['François Ozon'],0.0,1999-08-17,1999,0,0.0
3678,Anatomy of a Murder,['Otto Preminger'],0.0,1959-07-01,1959,0,0.0
3679,Freejack,['Geoff Murphy'],0.0,1992-01-17,1992,0,0.0
3680,Greaser's Palace,['Robert Downey Sr.'],0.0,1972-07-31,1972,0,0.0
3681,H.O.T.S.,['Gerald Seth Sindell'],0.0,1979-05-01,1979,0,0.0
3682,Knightriders,['George A. Romero'],0.0,1981-04-10,1981,3000000,0.0
3683,Mackenna's Gold,['J. Lee Thompson'],0.0,1969-03-18,1969,7000000,0.0
3684,Sinbad and the Eye of the Tiger,['Sam Wanamaker'],4.57,1977-07-15,1977,3500000,16000000.0
3685,Two Women,['Vittorio De Sica'],0.0,1960-12-23,1960,0,0.0
3686,What About Bob?,['Frank Oz'],1.82,1991-05-17,1991,35000000,63710000.0
3687,White Sands,['Roger Donaldson'],0.0,1992-04-24,1992,0,0.0
3688,Breaker Morant,['Bruce Beresford'],0.0,1980-05-15,1980,107,0.0
3689,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,['Woody Allen'],9.01,1972-08-06,1972,2000000,18016290.0
3690,Interiors,['Woody Allen'],0.0,1978-08-02,1978,0,0.0
3691,Love and Death,['Woody Allen'],6.72,1975-06-10,1975,3000000,20173742.0
3692,The Official Story,['Luis Puenzo'],0.0,1985-04-03,1985,0,0.0
3693,The Other Side of Sunday,['Berit Nesheim'],0.0,1996-02-09,1996,0,0.0
3694,Pot o' Gold,['George Marshall'],0.0,1941-04-03,1941,0,0.0
3695,Tampopo,['Juzo Itami'],0.0,1985-11-23,1985,0,0.0
