,index,title,genres,id,release_year,runtime,popularity,cast,crew
974,974,Ghost Ship,Horror Mystery Thriller,9645,2002,91.0,13.955376,Gabriel Byrne Julianna Margulies Desmond Harrington Ron Eldard Isaiah Washington Karl Urban Emily Browning Francesca Rettondini Bob Ruggiero Jamie Giddens Alex Dimitriades,Steve Beck
975,975,The Wizard of Lies,Crime Drama History TV Movie,363992,2017,133.0,13.953533,Robert De Niro Michelle Pfeiffer Hank Azaria Kristen Connolly Lily Rabe Alessandro Nivola Kathrine Narducci Nathan Darrow Steve Coulter Michael A. Goorjian Geoffrey Cantor Jason Babinsky Marta Milans Kelly AuCoin Amanda Warren Michael Kostroff Marko Caka Portland Helmich Doris McCarthy Hamilton Clancy Nancy Ellen Shore Tommy Bayiokos Gary Wilmes Cece King Kelly Aaron Amelia Brain Marion McCorry Sophie von Haselberg Karen Goeller Sydney Gayle Vincent Chan Adam Butterfield Razor Rizzotti Derrick Simmons James Brickhouse Ray Iannicelli Guy Sparks Ben Hammer Ethan Coskay Victor Joel Ortiz Chris LaPanta Ashley North Nicole Scimeca Anthoula Katsimatides David Little Jean Brassard Mark Axelowitz Reagan Grella Giulia Cicciari Wayne J. Miller Neil Brooks Cunningham Lori Burch Christine J. Carlson Sammy Peralta Ralph Bracco Eli Golden,Barry Levinson
976,976,Man Down,Drama Thriller,296523,2016,92.0,13.95291,Shia LaBeouf Jai Courtney Gary Oldman Kate Mara Tory Kittles Clifton Collins Jr Charlie Shotwell Jose Pablo Cantillo Justin Smith Paul Sado Pierre Kennel Ned Yousef Jaylen Moore Nick Jones Jr. Wolé Parks,Dito Montiel
977,977,Kolya,Music Drama Comedy,784,1996,105.0,13.947867,Andrei Chalimon Zdeněk Svěrák Libuše Šafránková Ondřej Vetchý Stella Zázvorková Silvia Šuvadová Ladislav Smoljak Irina Bezrukova,Jan Svěrák
978,978,Full Metal Jacket,Drama War,600,1987,116.0,13.94148,"Matthew Modine Adam Baldwin ""Vincent DOnofrio"" R. Lee Ermey Dorian Harewood Arliss Howard Kevyn Major Howard ""Ed ORoss"" John Terry Bruce Boa Kieron Jecchinis Jon Stafford Tim Colceri Peter Edmund Kirk Taylor Ian Tyler Gary Landon Mills Sal Lopez Papillon Soo Ngoc Le Tan Hung Francione ""Marcus DAmico"" Costas Dino Chimona Keith Hodiak Peter Merrill Herbert Norville Philip Bailey John Curtis Bob Eric Hart Steve Hudson Chris Maybach Gary Smith Michael Anthony Williams John Wilson Stanley Kubrick Vivian Kubrick David Palffy John Ward Philip Ettington",Stanley Kubrick
979,979,Clinical,Thriller,433244,2017,104.0,13.934252,Vinessa Shaw Kevin Rahm Aaron Stanford William Atherton India Eisley Nestor Serrano Sydney Tamiia Poitier Wilmer Calderon Dion Basco Adrian Flowers,Alistair Legrand
980,980,Kindergarten Cop 2,Action Comedy,383121,2016,100.0,13.927597,Dolph Lundgren Sarah Strange Andre Tricoteux Aleks Paunovic Fiona Vroom Rebecca Olson Bill Bellamy Jody Thompson Darla Taylor Carolyn Adair Enid-Raye Adams Jenny Sandersson Chris Violette Nicholas Carella Michael P. Northey Raphael Alejandro Dean Petriw Abbie Magnuson Josiah Black Tyreah Herbert Blake Stadel Valencia Budijanto Oscar Hartley William Budijanto,Don Michael Paul
981,981,Tenebre,Horror Mystery Thriller,29702,1982,110.0,13.925958,"Anthony Franciosa John Saxon Daria Nicolodi Giuliano Gemma Christian Borromeo ""Mirella DAngelo"" Veronica Lario Ania Pieroni Eva Robins Carola Stagnaro John Steiner Lara Wendel Isabella Amadeo Mirella Banti Ennio Girolami Marino Masé Fulvio Mingozzi Lamberto Bava Dario Argento Michele Soavi",Dario Argento
982,982,Wild Things,Thriller,617,1998,108.0,13.924623,Matt Dillon Kevin Bacon Denise Richards Neve Campbell Theresa Russell Bill Murray Robert Wagner Daphne Rubin-Vega Jeff Perry Eduardo Yáñez Jennifer Taylor Cory Pendergast Marc Macaulay Toi Svane Stepp Dennis Neal Diane Adams Paulo Benedeti Victoria Bass Ted Bartsch Leonor Anthony Antoni Corone Robert Deacon Anthony Giaimo Manny Suarez Janet Bushor Gina LaMarca Nancy Duerr Margo Peace Keith Wilson Nelson Oramas Michael Dean Walker Jesse Muson Kimberly Lamaze Rebecca White,John McNaughton
983,983,Stories We Tell,Documentary,128216,2012,108.0,13.922815,"Michael Polley Harry Gulkin Susy Buchan John Buchan Mark Polley Joanna Polley Cathy Gulkin Marie Murphy Robert MacMillan Deirdre Bowen Victoria Mitchell Mort Ransen Geoffrey Bowes Tom Butler Pixie Bigelow Claire Walker Rebecca Jenkins Peter Evans Alex Hatz Justin Goodhand Seamus Morrison Allie MacDonald Lani Billard Andrew Church Dave Kiner Jeff Mallory Kristen Corvers Jeanie Calleja James Downing Tracey Ferencz Eric Hanson Kaylin Griffin ""Mairtin OCarrigan"" Thomas Hauff Sarah Polley Christine Horne Anne Tait",Sarah Polley
984,984,Casablanca,Drama Romance,289,1942,102.0,13.916101,"Humphrey Bogart Ingrid Bergman Paul Henreid Claude Rains Conrad Veidt Sydney Greenstreet Peter Lorre S.Z. Sakall Madeleine Lebeau Dooley Wilson Joy Page John Qualen Leonid Kinskey Curt Bois Enrique Acosta Ed Agresti Louis V. Arco Frank Arnold Leon Belasco Nino Bellini Oliver Blake Monte Blue Eugene Borden Dick Botiller Maurice Brierre Sebastian Cabot Anita Camargo George M. Carleton Spencer Chan Melie Chang Tex Cooper Gino Corrado Franco Corsaro ""Adrienne DAmbricourt"" Marcel Dalio Helmut Dantine Jean De Briac George Dee Jean Del Val Carl Deloro Joseph DeVillard Arthur Dulac William Edmunds Herbert Evans Fred Farrell Adolph Faylauer O.K. Ford Martin Garralaga Gregory Gaye Gregory Golubeff Ilka Grüning Creighton Hale Winifred Harris Jamiel Hasson Arthur Stuart Hull Olaf Hytten Charles La Torre George J. Lewis Manuel Lopez Jacques Lory Lou Marcelle Tony Martelli George Meeker Lal Chand Mehra Hercules Mendez Louis Mercier Torben Meyer Alberto Morin Leo Mostovoy Corinna Mura Barry Norton Lotte Palfi Andor Paul Panzer Manuel París Alexander Pollard Frank Puglia Georges Renavent Dewey Robinson Richard Ryen Dan Seymour Lester Sharpe Dina Smirnova Gerald Oliver Smith George Sorel Geoffrey Steele Ludwig Stössel Mike Tellegen Rafael Trujillo Jacques Vanaire Ellinor Vanderveer Norma Varden Hans Heinrich von Twardowski Jack Wise Wolfgang Zilzer Trude Berliner Paul Porcasi Max Linder Frank Mazzola Henry Rowland Leo White Paul Irving Brandon Beach Victor Romito Michael Mark Bhogwan Singh",Michael Curtiz
985,985,Grimsby,Action Comedy,267193,2016,83.0,13.912531,Sacha Baron Cohen Mark Strong Isla Fisher Rebel Wilson Penélope Cruz Ian McShane Annabelle Wallis Scott Adkins Gabourey Sidibe David Harewood Sam Hazeldine Tamsin Egerton Johnny Vegas Alex Lanipekun Eileen Davies Rory Keenan Zak Sutcliffe Nick Boraine Lex Shrapnel John Thomson Ricky Tomlinson Barkhad Abdi Peter Baynham Rebecca Front Miles Jupp Sam Redford Eileen Davies,Louis Leterrier
986,986,The Invisible Guest,Mystery Crime Thriller,411088,2016,106.0,13.90698,Mario Casas José Coronado Bárbara Lennie Ana Wagener Francesc Orella Paco Tous David Selvas San Yélamos Iñigo Gastesi,Oriol Paulo
987,987,Death Warrant,Action Crime Drama Mystery Thriller,17466,1990,93.0,13.90542,Jean-Claude Van Damme Robert Guillaume Cynthia Gibb Patrick Kilpatrick Art LaFleur George Dickerson Joshua John Miller Hank Stone Conrad Dunn Jack Bannon Abdul Salaam El Razzac Armin Shimerman John Lantz Hans Howes Harry Waters Jr. Al Leong,Deran Sarafian
988,988,Stealth,Action,10048,2005,121.0,13.89018,Josh Lucas Jessica Biel Jamie Foxx Sam Shepard Richard Roxburgh Joe Morton Ebon Moss-Bachrach Michael Denkha Clayton Adams Rocky Helton Ian Bliss Maurice Morgan Woody Naismith Nicholas Hammond Joel Tobeck John Waters Charles Ndibe Michael McCabe Jim Diamond Sara Saliba Caroline de Souza Correa Megan Gale Harli Ames,Rob Cohen
989,989,Lord of the Flies,Adventure Drama Thriller,10847,1990,90.0,13.889303,Balthazar Getty Chris Furrh Danuel Pipoly James Badge Dale Andrew Taft Edward Taft Gary Rule Terry Wells Braden MacDonald Angus Burgin Martin Zentz Brian Jacobs Vincent Amabile David Weinstein Chuck Bell Everado Elizondo James Hamm Charlie Newmark Brian Matthews Shawn Skie Judson McCune Zane Rockenbaugh Robert Shea Gordon Elder Bob Peck Bill Schoppert Michael Greene,Harry Hook
990,990,Eight Below,Adventure Drama Family,9036,2006,120.0,13.876881,Paul Walker Bruce Greenwood Moon Bloodgood Jason Biggs Gerard Plunkett August Schellenberg Wendy Crewson,Frank Marshall
991,991,Resident Evil: Vendetta,Action Adventure Animation Horror Mystery Science Fiction,400136,2017,97.0,13.875911,Kevin Dorman Matthew Mercer Erin Cahill John DeMita Fred Tatasciore Cristina Vee Arif S. Kinchen Kari Wahlgren Arnie Pantoja Alexander Polinsky Jason Faunt Mary Elizabeth McGlynn Karen Strassman Fryda Wolff Jason Hightower Darin De Paul Orion Acaba Brian T. Delaney Tony Oliver David Earnest Bridget Hoffman Rif Hutton Misty Lee Reuben Langdon Dante Carver Hiroko Yashiki Akihiko Sai,Takanori Tsujimoto
992,992,Funeral in Berlin,Thriller,34388,1966,102.0,13.869663,Michael Caine Paul Hubschmid Oskar Homolka Eva Renzi Guy Doleman Hugh Burden Heinz Schubert Wolfgang Völz Thomas Holtzmann Günter Meisner Herbert Fux Rainer Brandt Ira Hagen Marthe Keller,Guy Hamilton
993,993,The Oranges,Comedy Romance Drama,89008,2011,90.0,13.869345,Leighton Meester Hugh Laurie Alia Shawkat Allison Janney Catherine Keener Adam Brody Oliver Platt Ian Helfer Aya Cash,Julian Farino
994,994,The Anomaly,Thriller Action Science Fiction,269173,2014,97.0,13.860922,Ian Somerhalder Alexis Knapp Noel Clarke Luke Hemsworth Michael Bisping Art Parkinson Ali Cook Reuben Dabrow Victoria Broom Lee Charles Eleanor Gecks Brian Cox Niall Greig Fulton Kumud Pant Jozef Aoki Paul Blackwell Siegfrid Calizo Olivia Chenery Anthony Farrelly Shane Hart Osy Ikhile Jean-Paul Jesstiece Mathew Kaye Andreas Matopoulos Allistair McNab Shane Nolan Lydia Piechowiak Craig Russell Jamie Swayer Nick Thomas-Webster Buppha Witt Leila Wong Gordon Alexander Alina Wazna,Noel Clarke
995,995,Lakeview Terrace,Drama Crime Thriller,13279,2008,110.0,13.857624,Samuel L. Jackson Patrick Wilson Kerry Washington Ron Glass Justin Chambers Jay Hernandez Regine Nehy Jaishon Fisher Robert Pine Keith Loneker Caleeb Pinkett Robert Dahey Ho-Jung Bitsie Tulloch Michael Sean Tighe Vanessa Bell Calloway Dallas Raines,Neil LaBute
996,996,Thumbelina,Animation Drama Family Fantasy,28032,1994,87.0,13.856199,Jodi Benson Gino Conforti Barbara Cook Gary Imhoff Charo Gilbert Gottfried Carol Channing Will Ryan June Foray Kenneth Mars Joe Lynch Danny Mann Loren Lester Kendall Cunningham Tawny Sunshine Glover Michael Nunes,Gary Goldman Don Bluth
997,997,Money Talks,Action Adventure Comedy,9416,1997,97.0,13.855037,Chris Tucker Charlie Sheen Heather Locklear Paul Sorvino Elise Neal,Brett Ratner
998,998,Chitty Chitty Bang Bang,Music Adventure Fantasy Comedy Family,11708,1968,144.0,13.852147,Dick Van Dyke Sally Ann Howes Lionel Jeffries Gert Fröbe Anna Quayle Benny Hill Robert Helpmann Heather Ripley Adrian Hall Desmond Llewelyn James Robertson Justice Barbara Windsor Davy Kaye Alexander Doré Bernard Spear Stanley Unwin Peter Arne Victor Maddern Arthur Mullard Ross Parker Gerald Campion Felix Felton Monti DeLyle Totti Truman Taylor Larry Taylor Max Bacon Max Wall John Heawood Michael Darbyshire Kenneth Waller Gerald Taylor Eddie Davis,Ken Hughes
999,999,The Kingdom,Thriller Action Drama,4349,2007,110.0,13.842333,Jamie Foxx Jennifer Garner Chris Cooper Jason Bateman Ali Suliman Jeremy Piven Ashraf Barhom Richard Jenkins Tim McGraw Kyle Chandler Frances Fisher Danny Huston Kelly AuCoin Anna Deavere Smith Minka Kelly Amy Hunter Tj Burnett Omar Berdouni Raad Rawi,Peter Berg
1000,1000,Her,Romance Science Fiction Drama,152601,2013,126.0,13.829515,Joaquin Phoenix Scarlett Johansson Rooney Mara Amy Adams Olivia Wilde Chris Pratt Portia Doubleday Sam Jaeger Katherine Boecher Kelly Sarah Spike Jonze Bill Hader Kristen Wiig Brian Cox Lynn A. Freedman Lisa Renee Pitts Gabe Gomez Artt Butler May Lindstrom Matt Letscher David Azar Guy Lewis Melanie Seacat Pramod Kumar Evelyn Edwards Steve Zissis Dane White Nicole Grother James Ozasky Samantha Sarakanti Luka Jones Gracie Prewitt Claudia Choi Laura Kai Chen Soko Wendy Leon Lil Buck,Spike Jonze
1001,1001,Madagascar 3: Europe's Most Wanted,Animation Family,80321,2012,93.0,13.829042,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock Jada Pinkett Smith John DiMaggio Cedric the Entertainer Jessica Chastain Bryan Cranston Martin Short Paz Vega,Conrad Vernon Eric Darnell Tom McGrath
1002,1002,"New York, I Love You",Comedy Drama Romance,12572,2008,103.0,13.825651,Hayden Christensen Andy García Rachel Bilson Natalie Portman Irrfan Khan Orlando Bloom Christina Ricci Maggie Q Ethan Hawke Chris Cooper Robin Wright Anton Yelchin James Caan Olivia Thirlby Blake Lively Drea de Matteo Bradley Cooper Julie Christie John Hurt Shia LaBeouf Taylor Geare Carlos Acosta Jacinda Barrett Ugur Yücel Shu Qi Burt Young Eli Wallach Cloris Leachman Emilie Ohana Eva Amurri Martino Justin Bartha Juri Henley-Cohn Gurdeep Singh Emory Cohen Hayley Crisp Jordann Beal Max Robkoff Nick Sartori,Natalie Portman Yvan Attal Fatih Akin Joshua Marston Mira Nair Allen Hughes Randall Balsmeyer Brett Ratner Shekhar Kapur Shunji Iwai Jiang Wen
1003,1003,Shakespeare in Love,Romance History,1934,1998,122.0,13.813155,Joseph Fiennes Gwyneth Paltrow Geoffrey Rush Tom Wilkinson Judi Dench Imelda Staunton Colin Firth Ben Affleck Simon Callow Steven Beard Jim Carter Rupert Everett Martin Clunes Tim McMullan Joe Roberts,John Madden
1004,1004,JFK,Drama Thriller History,820,1991,189.0,13.813146,"Kevin Costner Tommy Lee Jones Gary Oldman Kevin Bacon Michael Rooker Jack Lemmon Laurie Metcalf Sissy Spacek Joe Pesci John Candy Pruitt Taylor Vince Jay O. Sanders Walter Matthau Sally Kirkland Donald Sutherland Ed Asner Brian Doyle-Murray Ray LePere ""Vincent DOnofrio"" Tom Howard Lolita Davidovich Jim Garrison Wayne Knight Gary Grubbs Beata Pozniak Daniels Tony Plana John William Galt Ron Jackson Sean Stone John S. Davies Tomás Milián Raul Aranas Gail Cronauer Gary Carter James N. Harrell Ellen McElduff Jo Anderson Marco Perella Edwin Neal Darryl Cox T.J. Kennedy J.J. Johnston R. Bruce Elliott William Larsen Wayne Tippit Dale Dye Jerry Douglas Ryan MacDonald Duane Grey George R. Robertson Baxter Harris John Seitz Alex Rodine Sam Stoneburner Bob Gunton John P. Finnegan Walter Breaux Melodee Bowman Peter Maloney Richard Rutowski Bill Bolender Price Carson Gil Glasgow Bob Orwig Hugh Feagin George Kelly Victor Kempster John Larroquette Maria Mason Ron Rifkin Frank Whaley Kevin Beard Jeffrey Bornstein Marie Del Marco Alan Donnes Orlando Gallegos Robert J. Groden Chuck Kelley Codie Scott Martin Sheen Jacquelyn Twodat Jackson",Oliver Stone
1005,1005,The Magnificent Seven,Adventure Action Western,333484,2016,132.0,13.809622,"Denzel Washington Chris Pratt Ethan Hawke ""Vincent DOnofrio"" Lee Byung-hun Manuel Garcia-Rulfo Martin Sensmeier Peter Sarsgaard Haley Bennett Matt Bomer Luke Grimes Jonathan Joss Cam Gigandet Sean Bridgers Dylan Kenin Kevin Wayne Carrie Lazar David Kallaway Alix Angelis Billy Slaughter Vic Browder Emil Beheshti Mark Ashworth Dodge Prince Matthew Posey Jody Mullins Clint James Dane Rhodes Ritchie Montgomery William Lee Scott Griff Furst Sean Boyd Walker Babington Thomas Blake Jr. Rob Mello Chad Randall Wally Welch Ed Lowry David Manzanares Kevin Wiggins Jackson Beals David Miller Emily LaGroue Shona Gastian Mary Peyton Stewart Vinnie Jones",Antoine Fuqua
1006,1006,Elektra,Action Fantasy,9947,2005,97.0,13.802674,Jennifer Garner Goran Visnjic Will Yun Lee Cary-Hiroyuki Tagawa Terence Stamp Natassia Malthe Kirsten Prout Colin Cunningham Edson T. Ribeiro Chris Ackerman Bob Sapp Mark Houghton Hiro Kanagawa Laura Ward Ian Tracey Aaron Au Kevan Ohtsji Kurt Max Runte Nathaniel Arcand Jana Mitsoula,Rob Bowman
1007,1007,Sisters,Comedy,266294,2015,118.0,13.799419,"Tina Fey Amy Poehler John Leguizamo Ike Barinholtz Maya Rudolph Madison Davenport Greta Lee James Brolin John Cena Rachel Dratch Heather Matarazzo Dan Byrd Kate McKinnon Bobby Moynihan Adrian Martinez Dianne Wiest Santino Fontana ""Brian dArcy James"" Renée Elise Goldsberry Emily Tarver Samantha Bee Britt Lower Jackie Tohn John Lutz Daniel Breaker April Szykeruk Kara Rosella Christa Beth Campbell Ben Sinclair James Zeiss ""Kelsey OBrien"" Bill Walters Chris Parnell Greta Lee",Jason Moore
1008,1008,The Sheltering Sky,Adventure Drama Romance,24016,1990,138.0,13.798247,Debra Winger John Malkovich Campbell Scott Jill Bennett Timothy Spall Eric Vu-An Amina Annabi Philippe Morier-Genoud Sotigui Kouyaté Tom Novembre,Bernardo Bertolucci
1009,1009,Legion,Horror,22894,2010,100.0,13.795875,Paul Bettany Dennis Quaid Kevin Durand Kate Walsh Doug Jones Lucas Black Tyrese Gibson Adrianne Palicki Charles S. Dutton Jon Tenney Jeanette Miller Cameron Harlow Josh Stamberg Yancey Arias Willa Holland,Scott Stewart
1010,1010,Scott Pilgrim vs. the World,Action Adventure Comedy,22538,2010,112.0,13.793301,Michael Cera Mary Elizabeth Winstead Kieran Culkin Chris Evans Anna Kendrick Alison Pill Brandon Routh Jason Schwartzman Ellen Wong Satya Bhabha Mae Whitman Johnny Simmons Brie Larson Mark Webber Erik Knudsen Aubrey Plaza Nelson Franklin Jean Yoon Kristina Pesic Abigail Chu Ben Lewis Ingrid Haas Chantelle Chung Emily Kassie John Patrick Amedori Marlee Otto Will Seatle Bowes Thomas Jane Clifton Collins Jr Bill Hader,Edgar Wright
1011,1011,Goldfinger,Adventure Action Thriller,658,1964,110.0,13.78884,Sean Connery Honor Blackman Gert Fröbe Shirley Eaton Tania Mallet Harold Sakata Bernard Lee Martin Benson Cec Linder Austin Willis Lois Maxwell Desmond Llewelyn Burt Kwouk Nadja Regin Margaret Nolan Bill Nagy Michael Mellinger Peter Cranwell Richard Vernon Mai Ling Varley Thomas John McLaren Robert MacLeod Victor Brooks Alf Joint Gerry Duggan Caron Gardner Hal Galili Roland Brand Bill Brandon Norman Chancer Bill Edwards Laurence Herder William Hurndell John Maxim John McCarthy Lenny Rabbin Raymond Young,Guy Hamilton
1012,1012,Lake Placid,Horror Comedy Action Science Fiction Thriller,9825,1999,82.0,13.787108,Bill Pullman Bridget Fonda Oliver Platt Brendan Gleeson Betty White David Lewis Tim Dixon Natassia Malthe Mariska Hargitay Meredith Salenger Jed Rees Richard Leacock Jake T. Roberts Warren Takeuchi Ty Olsson Adam Arkin Steve Miner,Steve Miner
1013,1013,Joe,Drama,157847,2014,118.0,13.784411,Nicolas Cage Tye Sheridan Ronnie Gene Blevins Sue Rock Heather Kafka Robert Johnson Gary Poulter Adriene Mishler Brenda Isaacs Booth Aaron Spivey-Sorrells Dana Freitag Anna Niemtschk Erin Elizabeth Reed Jon Bonzor Jonny Mars Elbert Hill Jr. Lazaro Solares Lico Reyes Lynette Walden Patrick Arnez Kevin Kinkade,David Gordon Green
1014,1014,Sucker Punch,Action Fantasy Thriller,23629,2011,110.0,13.779527,Emily Browning Abbie Cornish Jena Malone Vanessa Hudgens Jamie Chung Carla Gugino Oscar Isaac Richard Cetrone Jon Hamm Scott Glenn Gerard Plunkett Malcolm Scott Ron Selmour Revard Dufresne Alan C. Peterson Kelora Clingwall Frederique De Raucourt Monique Ganderton Lee Tomaschefski Eli Snyder Cainan Wiebe Danny Bristol Danielle Benton Paula Giroday Louise Hradsky Daniela Dib Brad Kelly Peter Bryant Patrick Sabongui John R. Taylor Chris Nowland Ian Tracey Sean Campbell Michael Adamthwaite Phillip Mitchell,Zack Snyder
1015,1015,From Dusk Till Dawn 2: Texas Blood Money,Crime Action Horror Thriller,12095,1999,88.0,13.778043,Robert Patrick Duane Whitaker Bo Hopkins Muse Watson Brett Harrelson Raymond Cruz Danny Trejo James Parks Maria Checa Tiffani Thiessen Bruce Campbell Stacie Randall,Scott Spiegel
1016,1016,Captain Phillips,Action Drama Thriller,109424,2013,134.0,13.776068,Tom Hanks Catherine Keener Max Martini Chris Mulkey Yul Vazquez Corey Johnson David Warshofsky John Magaro Michael Chernus Barkhad Abdi Faysal  Ahmed Barkhad Abdirahman Mahat M. Ali Angus MacInnes San Shella Amr El-Bayoumi Azeez Mohammed,Paul Greengrass
1017,1017,Hitman,Action Crime Drama Thriller,1620,2007,89.0,13.765241,Timothy Olyphant Dougray Scott Olga Kurylenko Robert Knepper Ulrich Thomsen Henry Ian Cusick Michael Offei Christian Erickson Eriq Ebouaney Joe Sheridan James Faulkner,Xavier Gens
1018,1018,Revenge of the Ninja,Action Crime Drama Thriller,17386,1983,90.0,13.762328,Sho Kosugi Keith Vitali Virgil Frye Arthur Roberts Mario Gallo Grace Oshita Ashley Ferrare Kane Kosugi John LaMotta Mel Hampton Oscar Rowland Professor Tanaka Don Shanks Joe Pagliuso Ladd Anderson,Sam Firstenberg
1019,1019,White Oleander,Drama,10994,2002,109.0,13.75498,"Alison Lohman Michelle Pfeiffer Cole Hauser Robin Wright Amy Aquino John Billingsley Solomon Burke Jr. Taryn Manning Melissa Marsala James Lashly Patrick Fugit Billy Connolly Renée Zellweger Melissa McCarthy Elisa Bocanegra Sam Catlin Debra Christofferson Marc Donato Svetlana Efremova Scott Allan Campbell Leila Kenzle Cathy Ladman Drinda Lalumia Biff Yeager Noah Wyle ""James Kimo Wills"" Liz Stauber Mark Soper Samantha Shelton Kali Rocha Allison Munn Brian Mulligan Dallas McKinney Roger McIntyre Daniel Mandehr",Peter Kosminsky
1020,1020,The Fourth Kind,Mystery Science Fiction Thriller,22824,2009,98.0,13.751992,Milla Jovovich Will Patton Hakeem Kae-Kazim Corey Johnson Enzo Cilenti Elias Koteas Eric Loren Mia McKenna-Bruce Raphaël Coleman Daphne Alexander Alisha Seaton Tyne Rafaeli Pavel Stefanov Kiera McMaster Sara Houghton Julian Vergov Ioan Lov Charlotte Milchard Valentin Ganev Vladimir Kolev Silvia Lulcheva Olatunde Osunsanmi,Olatunde Osunsanmi
1021,1021,The Ring,Horror Mystery,565,2002,115.0,13.740965,Naomi Watts Martin Henderson David Dorfman Brian Cox Shannon Cochran Daveigh Chase Rachael Bella Jane Alexander Lindsay Frost Amber Tamblyn Sandra Thigpen Richard Lineback Sara Rue Adam Brody Keith Campbell,Gore Verbinski
1022,1022,Smokey and the Bandit Part 3,Action Comedy Crime,15120,1983,85.0,13.721966,Jackie Gleason Jerry Reed Paul Williams Pat McCormick Colleen Camp Burt Reynolds Ray Bouchard,Dick Lowry
1023,1023,Stay Tuned,Comedy Fantasy,23939,1992,87.0,13.72021,John Ritter Pam Dawber David Tom Heather McComb Jeffrey Jones Eugene Levy Don Calfa Erik King Susan Blommaert Bob Dishy Joyce Gordon,Peter Hyams
1024,1024,Bridge of Spies,Thriller Drama,296098,2015,141.0,13.707888,Tom Hanks Mark Rylance Amy Ryan Alan Alda Sebastian Koch Austin Stowell Billy Magnussen Michael Simon Hall Edward James Hyland Stephen Kunken Mike Houston James Lorinz Michael Power Joe Starr Merab Ninidze Greg Nutcher Scott Shepherd Jesse Plemons Domenick Lombardozzi Eve Hewson Noah Schnapp Jillian Lebling Michael Gaston Peter McRobbie Joshua Harto Mark Zak Marko Caka John Ohkuma Burghart Klaußner Mikhail Gorevoy Max Mauff Victor Verhaeghe Mark Fichera Brian Hutchison Dakin Matthews Joel Brady John Rue Michael Pemberton Jon Curry Wes McGee Jim C. Ferris Haley Rawson Ashlie Atkinson Steven Boyer John Henry Cox Will Rogers Daniela Schulz Nadja Bobyleva Joe Forbrich Patricia Squire Henny Russell Nolan Lyons Hayley Feinstein Victoria Leigh Jon Donahue Victor Schefé Joachim Paul Assböck Rainer Reiners Hamilton Clancy Tracy Howe Paul Jude Letersky Michael Wren Gucciardo Rafael Gareisen Peter Conboy Ron Komora Michael Schenk,Steven Spielberg
1025,1025,The Cat in the Hat,Comedy Fantasy Family,10588,2003,82.0,13.706053,Mike Myers Dakota Fanning Spencer Breslin Kelly Preston Alec Baldwin Amy Hill Sean Hayes Danielle Ryan Chuchran Taylor Rice Brittany Oaks Talia-Lynn Prairie,Bo Welch
1026,1026,Bambi,Animation Drama Family,3170,1942,70.0,13.698132,Donnie Dunagan Peter Behn Stan Alexander Cammie King Will Wright Hardie Albright Ann Gillis Tim Davis Sam Edwards Sterling Holloway Otis Harlan,David Hand James Algar Samuel Armstrong William Roberts Paul Satterfield Graham Heid Norman Wright
1027,1027,Wreck-It Ralph,Family Animation Comedy Adventure,82690,2012,108.0,13.697597,"John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk Mindy Kaling Joe Lo Truglio ""Ed ONeill"" Dennis Haysbert Adam Carolla Horatio Sanz Rich Moore Edie McClurg Jess Harnell Rachael Harris Skylar Astin Katie Lowes Jamie Elman Josie Trinidad Cymbre Walk Phil Johnston Stefanie Scott John DiMaggio Raymond S. Persi Brian Kesinger Martin Jarvis Tucker Gilmore Brandon Scott Tim Mertens Maurice LaMarche Roger Craig Smith Kyle Hebert Reuben Langdon Gerald C. Rivers Kevin Deters Jamie Sparer Roberts Ava Acres Isabella Acres Bob Bergen David Boat Mike Carlsen Reed Buck David Cowgill Jim Cummings Debi Derryberry Terri Douglas Sandy Fox Eddie Frierson Earl Ghaffari Emily Hahn Jennifer Hale Daniel Kaz Dave Kohut Lauren MacMullan Mona Marshall Scott Menville Laraine Newman Paul Pape Lynwood Robinson Trenton Rogers Jadon Sand Kath Soucie April Stewart Fred Tatasciore Jennifer Christine Vera E.G. Daily",Rich Moore
1028,1028,The Wild Geese,Action Thriller War,7010,1978,134.0,13.696437,Richard Burton Roger Moore Richard Harris Hardy Krüger Stewart Granger John Kani Jack Watson Frank Finlay Kenneth Griffith Ronald Fraser Barry Foster Winston Ntshona Percy Herbert Ian Yule Glyn Baker Paul Spurrier Rosalind Lloyd David Ladd Jeff Corey Brook Williams Valerie Leon Leslie Schofield Jane Hylton Sydney Chama Ken Gampu Patrick Holt Terence Longdon John Dennison Thomas Baptiste Jules Walters Fred Bryant Anna Bergman Suzanne Danielle Chris Chittell,Andrew V. McLaglen
